,,,,,,,,,,,,
time stamp,raw pressure,raw temperature,raw ax,raw ay,raw aZ,calcualted alt,y estimate,v estimate,a estimate,apogee estimate,servo deployment,flight mode
83624,98.58,30.06,0.03,0.03,1.00,-0.01,-0.01,0.00,0.00,apogee estimate,0.00,0
83714,98.58,30.04,0.03,0.03,1.00,0.11,0.11,0.00,0.00,apogee estimate,0.00,0
83805,98.58,30.04,0.03,0.03,0.99,0.14,0.14,0.01,0.00,apogee estimate,0.00,0
83897,98.57,30.02,0.03,0.03,0.99,0.55,0.45,0.80,0.01,apogee estimate,0.00,0
83989,98.58,30.02,0.03,0.03,0.99,0.07,0.21,-0.24,-0.00,apogee estimate,0.00,0
84097,98.58,30.02,0.03,0.03,0.99,-0.28,-0.24,-1.54,-0.02,apogee estimate,0.00,0
84188,98.57,30.02,0.03,0.03,1.00,0.44,0.18,0.10,0.00,apogee estimate,0.00,0
84281,98.58,30.01,0.03,0.03,0.99,0.27,0.26,0.29,0.01,apogee estimate,0.00,0
84372,98.58,30.02,0.03,0.03,0.99,-0.09,0.03,-0.42,-0.01,apogee estimate,0.00,0
84465,98.58,30.01,0.03,0.03,0.99,-0.23,-0.19,-0.94,-0.02,apogee estimate,0.00,0
84556,98.58,30.01,0.03,0.03,0.99,0.18,-0.02,-0.20,-0.00,apogee estimate,0.00,0
84649,98.58,30.02,0.03,0.03,0.99,-0.02,-0.04,-0.20,-0.00,apogee estimate,0.00,0
84755,98.58,30.01,0.03,0.03,0.99,-0.08,-0.09,-0.29,-0.00,apogee estimate,0.00,0
84847,98.58,30.01,0.03,0.03,0.99,-0.15,-0.16,-0.41,-0.01,apogee estimate,0.00,0
84939,98.58,30.01,0.03,0.03,0.99,0.36,0.17,0.62,0.03,apogee estimate,0.00,0
85031,98.58,30.02,0.03,0.03,0.99,0.37,0.37,1.01,0.05,apogee estimate,0.00,0
85123,98.58,30.02,0.03,0.03,0.99,-0.12,0.12,0.03,0.00,apogee estimate,0.00,0
85215,98.58,30.02,0.03,0.03,0.99,-0.13,-0.06,-0.47,-0.02,apogee estimate,0.00,0
85322,98.58,30.02,0.03,0.03,0.99,0.16,0.05,-0.03,0.00,apogee estimate,0.00,0
85413,98.58,30.02,0.03,0.03,0.99,0.20,0.16,0.27,0.02,apogee estimate,0.00,0
85506,98.58,30.02,0.03,0.03,0.99,0.01,0.08,-0.01,0.00,apogee estimate,0.00,0
