Time (us),Time of flight(s),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment,Estimated Apogee,Estimated Apogee Error,k,0.001017927
377844145,0,1.242553,16.50979,2,0.99646,0.02301,-0.045959,-0.066711,-0.1,0.67,30.23,-2.87271,-0.52407,30.096261,0.791859,1.439861,29.767216,0,0.89761662,-225.3823834,,
377853627,0.009482,1.338439,16.495859,2,0.996521,0.02356,-0.045654,-0.065796,5.23,-0.98,28.25,2.378437,-2.824275,28.50864,1.130396,2.370702,28.522509,0,1.417011012,-224.862989,Code compiled on Dec 22 2025 at 15:34:53,
377863343,0.019198,-0.048463,16.50979,2,0.996582,0.024048,-0.044983,-0.06543,0.99,0.06,30.23,-1.820289,-1.34285,30.161573,0.466406,1.563181,30.143511,0,0.591051314,-225.6889487,﻿Simulation Mode (T/F),F
377873215,0.02907,0.782638,16.505146,2,0.996521,0.024353,-0.044189,-0.066101,-0.7,0.52,30.2,-3.380749,-0.680814,30.015116,0.667119,2.121383,30.01653,0,0.896640196,-225.3833598,Airbrakes Enabled (T/F),F
377886162,0.042017,1.151809,16.505146,2,0.996521,0.024658,-0.043213,-0.066711,-1.52,0.75,30.23,-4.105691,-0.363606,29.995612,0.979545,2.892953,29.995842,0,1.406252734,-224.8737473,Log File Name (max 7 chars uppercase),FLIGHT
377894576,0.050431,1.982482,16.500502,2,0.996399,0.024963,-0.04248,-0.068726,-0.87,-1.07,30.23,-3.665762,-2.2649,29.953076,1.588745,4.054151,29.953547,0,2.426201855,-223.8537981,Sim File Name (if applicable),Sim
377903839,0.059694,1.982482,16.500502,2,0.996338,0.025146,-0.041931,-0.070068,-1.33,0.83,30.23,-3.830529,-0.32785,30.025492,1.855587,4.631087,30.024699,0,2.947911089,-223.3320889,Burnout Mass (kg),0.637
377916440,0.072295,1.891204,16.495859,2,0.996338,0.025452,-0.041199,-0.070435,-1.75,1,30.22,-4.177721,-0.119209,29.997388,1.937016,5.03524,29.997689,0,3.227902599,-223.0520974,Air Density (kg/m^3),1.18
377924620,0.080475,1.242553,16.50979,2,0.996338,0.025879,-0.040222,-0.071228,-4.19,1.67,30.22,-6.433908,0.86901,29.857048,1.5758,4.676548,29.858598,0,2.689636603,-223.5903634,Rocket CD,0.71
377933786,0.089641,1.336395,16.505146,2,0.995972,0.026062,-0.039795,-0.076233,2.73,-1.86,30.22,-0.10456,-3.641559,30.180944,1.481469,4.77768,30.177392,0,2.643910369,-223.6360896,Airbrake CD,0.8
377946412,0.102267,1.982482,16.500502,2,0.995667,0.025818,-0.040161,-0.079468,-3.79,1.36,30.22,-6.058334,0.58785,29.873279,1.835028,5.515589,29.87663,0,3.383319608,-222.8966804,Rocket Area (m^2),0.00243
377954572,0.110427,1.336395,16.505146,2,0.995605,0.025574,-0.040405,-0.080444,0.24,0.61,30.22,-2.223143,-0.780064,30.135148,1.591454,5.330475,30.132299,0,3.037797993,-223.242202,Kalman Model Y STD,0.05
377963798,0.119653,1.520477,16.505146,2,0.995361,0.025391,-0.04071,-0.08313,1.32,0.78,30.22,-1.151849,-0.775906,30.226975,1.600869,5.557434,30.225932,0,3.172683371,-223.1073166,Kalman Model V STD,0.1
377976389,0.132244,1.613281,16.500502,2,0.995178,0.02533,-0.040833,-0.085754,2.65,-1.17,30.22,-0.18239,-2.920983,30.217129,1.680444,5.946869,30.217226,0,3.479610874,-222.8003891,Kalman Model A STD,0.015
377984588,0.140443,2.07376,16.505146,2,0.995117,0.025146,-0.041138,-0.086121,-3.1,0.06,30.22,-5.638476,-0.701517,29.842544,1.958641,6.531842,29.846673,0,4.127887655,-222.1521123,Kalman Measurement Y STD,0.26
377993716,0.149571,2.995803,16.505146,2,0.995056,0.025024,-0.041199,-0.087158,1.34,0.95,30.22,-1.13165,-0.588785,30.23772,2.619359,7.569329,30.23341,0,5.528989464,-220.7510105,Kalman Measurement A STD,0.013
378006309,0.162164,2.627075,16.505146,2,0.994873,0.024902,-0.041382,-0.088684,-0.9,-0.59,30.22,-3.607429,-1.694892,29.975324,2.721535,7.952377,29.978168,0,5.931558254,-220.3484417,Target Apogee (m),185
378014494,0.170349,2.62503,16.514433,2,0.994995,0.024719,-0.041748,-0.087646,6.01,-2.22,30.22,2.872523,-4.509221,30.425536,2.731597,8.117905,30.420606,0,6.075924626,-220.2040754,Launch Acceleration Threshold (m/s^2),20
378023712,0.179567,2.811691,16.505146,2,0.995178,0.024231,-0.041809,-0.085266,2.09,-3.42,30.22,-1.160806,-4.967179,30.054823,2.854031,8.453778,30.058854,0,6.479192038,-219.800808,Coast Lockout (s),1.5
378036287,0.192142,2.534255,16.50979,2,0.995605,0.02356,-0.040955,-0.080811,1.26,0.65,30.22,-1.236833,-0.782043,30.217827,2.777062,8.601821,30.216076,0,6.529537775,-219.7504622,KP (1/s),0.24
378044484,0.200339,2.442474,16.505146,2,0.996216,0.02301,-0.039917,-0.073975,-0.36,-1.57,30.22,-3.089763,-2.70444,29.983039,2.65424,8.557238,29.985607,0,6.368147964,-219.911852,Altimeter lockout (s),90
378053637,0.209492,3.827148,16.500502,2,0.996887,0.022583,-0.038574,-0.065308,1.45,0.95,30.22,-0.857949,-0.45881,30.254044,3.412238,9.698062,30.251086,0,8.174405748,-218.1055943,,
378066221,0.222076,3.918441,16.505146,2,0.997437,0.022278,-0.037537,-0.057129,-2.16,-1.19,30.21,-4.612488,-2.144284,29.880648,3.830532,10.440621,29.88473,0,9.343241848,-216.9367582,Calibration point: 201.968888,
378074390,0.230245,3.549178,16.505146,2,0.997803,0.0224,-0.036499,-0.050171,-0.31,1.41,30.21,-2.437075,0.193243,30.145504,3.753414,10.442508,30.14263,0,9.268099263,-217.0119007,,
378083579,0.239434,3.73381,16.505146,2,0.998047,0.022888,-0.035767,-0.045532,7.02,0.53,30.21,4.80047,-1.404077,30.613546,3.839324,10.709376,30.608357,0,9.636847916,-216.6431521,,
378096152,0.252007,3.825103,16.50979,2,0.998047,0.023193,-0.035767,-0.045166,-4.32,0.9,30.21,-6.431765,-0.009002,29.845411,3.968075,11.074324,29.853819,0,10.16350757,-216.1164924,,
378104338,0.260193,3.640975,16.50979,2,0.998108,0.023438,-0.036072,-0.044434,5.39,-2.59,30.21,2.891084,-4.380702,30.345606,3.869751,11.038202,30.340187,0,10.02522752,-216.2547725,,
378113602,0.269457,4.565215,16.500502,2,0.998108,0.023621,-0.036438,-0.043518,-5.18,2.54,30.22,-7.190616,1.657368,29.867718,4.375616,11.828288,29.872924,0,11.43359306,-214.8464069,,
378126166,0.282021,4.378509,16.50979,2,0.998108,0.023865,-0.036743,-0.04248,-1.22,0.73,30.22,-3.429507,-0.513188,30.054026,4.528279,12.207995,30.05203,0,12.04118919,-214.2388108,,
378134358,0.290213,5.116607,16.50979,2,0.998169,0.024109,-0.037048,-0.041382,-1.29,0.01,30.22,-3.576633,-1.242983,30.009587,4.971055,12.966993,30.010055,0,13.43427711,-212.8457229,,
378143483,0.299338,4.934005,16.500502,2,0.998169,0.024353,-0.037354,-0.040222,1.71,-0.89,30.22,-0.682865,-2.404878,30.178046,5.069205,13.214953,30.176194,0,13.85465033,-212.4253497,,
378156053,0.311908,5.577239,16.514433,2,0.99823,0.024597,-0.037598,-0.03894,-2.6,0.96,30.22,-4.838178,-0.232665,29.957768,5.532644,13.960396,29.960175,0,15.32141689,-210.9585831,,
378164250,0.320105,5.577239,16.514433,2,0.998291,0.024841,-0.037842,-0.037598,-1.64,0.63,30.22,-3.924258,-0.659217,30.008347,5.67399,14.245231,30.007816,0,15.85978126,-210.4202187,,
378173492,0.329347,5.854751,16.50979,2,0.998291,0.025085,-0.038025,-0.036194,0.31,-0.68,30.22,-2.088724,-2.130748,30.081619,5.911502,14.657047,30.080806,0,16.68455762,-209.5954424,,
378186056,0.341911,5.577239,16.514433,2,0.998352,0.025208,-0.038208,-0.034668,-0.37,-0.24,30.22,-2.742486,-1.653767,30.053066,5.903907,14.789986,30.053371,0,16.86987093,-209.4101291,,
378194243,0.350098,5.762939,16.505146,2,0.998413,0.025391,-0.03833,-0.033081,-0.85,0.04,30.22,-3.206838,-1.357872,30.030737,5.944107,14.912629,30.030986,0,17.08947654,-209.1905235,,
378203367,0.359222,6.592452,16.50979,2,0.998413,0.025513,-0.038513,-0.031433,-1.27,0.13,30.22,-3.628331,-1.254589,30.002317,6.456455,15.667033,30.002633,0,18.73559118,-207.5444088,,
378215990,0.371845,6.868453,16.514433,2,0.998474,0.025635,-0.038635,-0.029785,0.4,-0.75,30.22,-2.022728,-2.249717,30.080195,6.895848,16.346524,30.079341,0,20.24030031,-206.0396997,,
378224187,0.380042,7.238876,16.505146,2,0.998535,0.025757,-0.038696,-0.027954,-0.95,-0.19,30.22,-3.334794,-1.623606,30.007169,7.230135,16.892831,30.007964,0,21.46112191,-204.8188781,,
378233319,0.389174,8.069015,16.50979,2,0.998596,0.025818,-0.038757,-0.025879,-0.36,-0.52,30.22,-2.763858,-1.996904,30.033683,7.870933,17.790257,30.0334,0,23.61567862,-202.6643214,,
