Code compiled on Dec 22 2025 at 15:34:53
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name (max 7 chars uppercase),FLIGHT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.637
Air Density (kg/m^3),1.18
Rocket CD,0.71
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),183
Launch Acceleration Threshold (m/s^2),20
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter lockout (s),120

Calibration point: 198.598961
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment,
352859148,0.385719,16.444780,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.010000,-0.060000,-0.028953,0.027473,-0.060887,0.000000,0.000000,0.000000,0.000000,
352871177,0.017204,16.444780,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.020000,-0.070000,0.007166,0.025936,-0.070541,0.007309,-0.000839,-0.069755,0.000000,
352880932,0.383659,16.454067,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.020000,-0.060000,0.007080,0.026161,-0.060544,0.209847,0.001664,-0.060646,0.000000,
352890760,-0.079659,16.467998,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.000000,-0.040000,-0.004891,0.007616,-0.040225,0.047386,-0.003443,-0.040450,0.000000,
352903528,0.657874,16.467998,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.000000,-0.060000,-0.020434,0.032712,-0.060931,0.392766,0.011664,-0.060705,0.000000,
352912193,-0.543999,16.481928,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.010000,-0.050000,-0.023800,0.019182,-0.050653,-0.138163,-0.030009,-0.050763,0.000000,
352921641,0.006950,16.491215,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.050000,-0.003485,0.043416,-0.051021,-0.056160,-0.023696,-0.051018,0.000000,
352934279,0.560493,16.491215,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.000000,-0.050000,-0.020521,0.032937,-0.050933,0.293443,0.010547,-0.050934,0.000000,
352942454,0.464637,16.505146,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.000000,-0.040000,-0.010130,0.016131,-0.040462,0.390707,0.024094,-0.040578,0.000000,
352951649,0.371879,16.509790,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.030000,-0.040000,0.010185,0.040365,-0.040831,0.380241,0.022271,-0.040828,0.000000,
352964253,0.185310,16.519077,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.010000,-0.050000,-0.001525,0.021146,-0.050503,0.269795,0.004846,-0.050397,0.000000,
352972425,0.001319,16.519077,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.050000,-0.012003,0.038176,-0.050977,0.117268,-0.027140,-0.050971,0.000000,
352981662,-0.553734,16.528364,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.050000,-0.015282,0.024422,-0.050696,-0.264174,-0.100163,-0.050699,0.000000,
352991278,0.552284,16.528364,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.010000,-0.040000,-0.018648,0.010892,-0.040419,0.198831,-0.004795,-0.040532,0.000000,
353004096,-0.002785,16.537651,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.050000,-0.006764,0.029661,-0.050740,0.084062,-0.031681,-0.050628,0.000000,
353012486,0.734245,16.537651,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.060000,-0.003398,0.043191,-0.061018,0.453877,0.078275,-0.060904,0.000000,
353021648,-0.189339,16.546938,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.020000,-0.040000,0.001667,0.035126,-0.040787,0.088705,-0.020558,-0.041009,0.000000,
353034280,0.272956,16.542294,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.050000,-0.015282,0.024422,-0.050696,0.193363,0.008054,-0.050590,0.000000,
353042464,-0.189339,16.546938,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.070000,-0.006591,0.029212,-0.070734,-0.024604,-0.070503,-0.070512,0.000000,
353051601,0.177619,16.556225,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.040000,-0.006851,0.029886,-0.040743,0.089870,-0.034342,-0.041071,0.000000,
353064209,-0.284157,16.560868,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.000000,-0.060000,-0.004717,0.007167,-0.060220,-0.123761,-0.105039,-0.060009,0.000000,
353072383,-0.284157,16.560868,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.050000,-0.003485,0.043416,-0.051021,-0.216092,-0.143683,-0.051120,0.000000,
353081513,-0.193444,16.565512,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.020000,-0.070000,0.007166,0.025936,-0.070541,-0.204503,-0.139569,-0.070327,0.000000,
353094140,-0.008935,16.565512,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.010000,-0.060000,-0.018475,0.010442,-0.060413,-0.094686,-0.098130,-0.060522,0.000000,
353102312,-0.286202,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.070000,-0.015109,0.023972,-0.070691,-0.204820,-0.151018,-0.070579,0.000000,
353111564,-0.286202,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.060000,-0.011916,0.037952,-0.060974,-0.252628,-0.171055,-0.061080,0.000000,
353124164,0.082801,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.010000,-0.050000,-0.013322,0.002152,-0.050179,-0.063201,-0.089154,-0.050299,0.000000,
353132359,-0.470193,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.050000,-0.003485,0.043416,-0.051021,-0.296507,-0.214638,-0.051013,0.000000,
