Code compiled on Feb 14 2026 at 22:01:21
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,FLT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.24
Rocket CD,0.65
Airbrake CD,0.65
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 238.512741
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
104363996,0.089661,17.373433,1,0.881836,-0.027161,0.022217,-0.470276,0.140000,0.370000,0.700000,0.429684,0.108414,0.670912,0.000000,0.000000,0.000000,0.000000,0.000000,
104377586,-0.095047,17.373433,1,0.881836,-0.027161,0.022217,-0.470276,0.160000,0.430000,0.700000,0.490510,0.125174,0.666511,-0.040350,0.008957,0.659085,0.000000,0.000000,
104385918,0.366974,17.387362,1,0.881836,-0.027161,0.022217,-0.470215,0.160000,0.390000,0.710000,0.458003,0.103260,0.679239,0.178971,0.018400,0.679017,0.000000,0.000000,
104393454,-0.189194,17.396648,1,0.881836,-0.027161,0.022217,-0.470215,0.120000,0.390000,0.710000,0.435731,0.136480,0.679784,-0.027469,0.018038,0.679776,0.000000,0.000000,
104405130,-0.189713,17.405934,1,0.881897,-0.027161,0.022217,-0.470093,0.180000,0.410000,0.700000,0.485028,0.097634,0.667614,-0.118991,0.022426,0.667748,0.000000,0.000000,
104413062,-0.003983,17.405934,1,0.881958,-0.027161,0.022217,-0.469971,0.100000,0.410000,0.680000,0.439126,0.163638,0.648755,-0.053614,0.032063,0.648964,0.000000,0.000000,
104421661,0.088120,17.419862,1,0.882080,-0.027161,0.022217,-0.469849,0.100000,0.450000,0.700000,0.473508,0.186572,0.665952,0.027039,0.043790,0.665765,0.000000,0.000000,
104433585,-0.283859,17.429148,1,0.882141,-0.027161,0.022217,-0.469727,0.120000,0.450000,0.710000,0.485259,0.170369,0.675654,-0.148751,0.035870,0.675545,0.000000,0.000000,
104442202,0.272308,17.429148,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.390000,0.730000,0.448028,0.120938,0.699459,0.090561,0.073752,0.699196,0.000000,0.000000,
104451029,0.087082,17.438434,1,0.882141,-0.027161,0.022217,-0.469666,0.160000,0.430000,0.700000,0.490340,0.125824,0.666508,0.089264,0.079368,0.666868,0.000000,0.000000,
104463538,-0.099167,17.447720,1,0.882080,-0.027161,0.022217,-0.469788,0.180000,0.390000,0.700000,0.468423,0.086810,0.668987,-0.016709,0.071905,0.668963,0.000000,0.000000,
104472380,-0.099167,17.447720,1,0.881958,-0.027161,0.022217,-0.469971,0.220000,0.390000,0.700000,0.490737,0.053420,0.668442,-0.062908,0.068242,0.668448,0.000000,0.000000,
104481007,0.086060,17.457006,1,0.881897,-0.027161,0.022217,-0.470154,0.220000,0.370000,0.680000,0.472914,0.041550,0.649869,0.022335,0.090561,0.650073,0.000000,0.000000,
104493610,-0.564255,17.470934,1,0.881836,-0.027161,0.022217,-0.470276,0.160000,0.370000,0.700000,0.440817,0.091802,0.670639,-0.309975,0.031896,0.670412,0.000000,0.000000,
104502168,0.363892,17.461648,1,0.881836,-0.027161,0.022217,-0.470276,0.130000,0.310000,0.700000,0.374424,0.083348,0.675176,0.073693,0.141087,0.675123,0.000000,0.000000,
104511165,0.363373,17.470934,1,0.881897,-0.027161,0.022217,-0.470154,0.100000,0.410000,0.680000,0.439205,0.163463,0.648754,0.239711,0.188151,0.649045,0.000000,0.000000,
104523793,-0.193314,17.480220,1,0.881897,-0.027161,0.022217,-0.470093,0.160000,0.350000,0.660000,0.421622,0.079768,0.632113,-0.004343,0.132491,0.632300,0.000000,0.000000,
104532665,0.455475,17.475577,1,0.881958,-0.027161,0.022217,-0.470032,0.140000,0.370000,0.700000,0.429626,0.108640,0.670910,0.258782,0.226272,0.670485,0.000000,0.000000,
104541325,0.085022,17.475577,1,0.881958,-0.027161,0.022217,-0.469971,0.140000,0.410000,0.700000,0.462711,0.130971,0.668159,0.161865,0.201204,0.668185,0.000000,0.000000,
104553923,-0.100708,17.484863,1,0.881958,-0.027161,0.022217,-0.469971,0.180000,0.370000,0.700000,0.451890,0.075492,0.670365,0.014855,0.163751,0.670341,0.000000,0.000000,
104562545,0.363373,17.480220,1,0.881958,-0.027161,0.022217,-0.469971,0.120000,0.430000,0.750000,0.471357,0.160062,0.716934,0.215004,0.248522,0.716420,0.000000,0.000000,
104571483,-0.008102,17.489506,1,0.881958,-0.027161,0.022217,-0.469971,0.160000,0.460000,0.710000,0.515892,0.142476,0.674422,0.090157,0.208750,0.674885,0.000000,0.000000,
104584105,-0.379562,17.498791,1,0.881958,-0.027161,0.022217,-0.469971,0.160000,0.410000,0.700000,0.473856,0.114367,0.667886,-0.175067,0.120478,0.667963,0.000000,0.000000,
104592944,0.084518,17.494148,1,0.882019,-0.027161,0.022217,-0.469910,0.100000,0.410000,0.660000,0.437822,0.163154,0.628803,-0.025795,0.193911,0.629235,0.000000,0.000000,
104601641,-0.008606,17.498791,1,0.882080,-0.027161,0.022217,-0.469788,0.100000,0.390000,0.700000,0.423814,0.153209,0.670081,-0.014282,0.203847,0.669631,0.000000,0.000000,
104614121,-0.008606,17.498791,1,0.882141,-0.027161,0.022217,-0.469666,0.120000,0.370000,0.700000,0.418381,0.125576,0.671183,-0.008446,0.213542,0.671165,0.000000,0.000000,
104622708,0.176605,17.498791,1,0.882202,-0.027161,0.022217,-0.469543,0.160000,0.390000,0.710000,0.457863,0.103922,0.679234,0.099129,0.273500,0.679145,0.000000,0.000000,
104631806,-0.193832,17.498791,1,0.882202,-0.027161,0.022217,-0.469543,0.140000,0.430000,0.710000,0.479792,0.142818,0.676757,-0.065533,0.202469,0.676783,0.000000,0.000000,
104644426,0.269745,17.494148,1,0.882202,-0.027161,0.022217,-0.469543,0.160000,0.450000,0.660000,0.504263,0.136024,0.625230,0.128694,0.298985,0.625798,0.000000,0.000000,
104653261,0.269745,17.494148,1,0.882202,-0.027161,0.022217,-0.469604,0.180000,0.450000,0.750000,0.521278,0.121792,0.714734,0.212049,0.351773,0.713754,0.000000,0.000000,
104661960,-0.101227,17.503434,1,0.882141,-0.027161,0.022217,-0.469666,0.240000,0.430000,0.710000,0.535614,0.059708,0.675389,0.036209,0.264314,0.675811,0.000000,0.000000,
104674457,0.454971,17.503434,1,0.882080,-0.027161,0.022217,-0.469727,0.140000,0.330000,0.700000,0.396443,0.086636,0.673661,0.279060,0.392859,0.673685,0.000000,0.000000,
104683288,0.362350,17.498791,1,0.882080,-0.027161,0.022217,-0.469727,0.100000,0.370000,0.660000,0.404644,0.141039,0.631556,0.330236,0.428194,0.632020,0.000000,0.000000,
104692172,0.732803,17.508077,1,0.882080,-0.027161,0.022217,-0.469727,0.080000,0.430000,0.660000,0.443137,0.191071,0.627702,0.564178,0.564204,0.627749,0.000000,0.000000,
104704669,-0.101227,17.503434,1,0.882080,-0.027161,0.022217,-0.469727,0.120000,0.330000,0.700000,0.385288,0.103234,0.673935,0.190343,0.362665,0.673426,0.000000,0.000000,
104713473,0.084000,17.503434,1,0.882141,-0.027161,0.022217,-0.469666,0.160000,0.410000,0.730000,0.475733,0.115489,0.697810,0.132625,0.327428,0.697541,0.000000,0.000000,
104722273,0.547577,17.498791,1,0.882141,-0.027161,0.022217,-0.469666,0.130000,0.370000,0.680000,0.422666,0.116737,0.651095,0.372893,0.478708,0.651607,0.000000,0.000000,
104734656,0.084000,17.512720,1,0.882141,-0.027161,0.022217,-0.469666,0.160000,0.410000,0.700000,0.473792,0.114677,0.667884,0.213366,0.389085,0.667704,0.000000,0.000000,
104743446,0.361832,17.508077,1,0.882141,-0.027161,0.022217,-0.469666,0.160000,0.410000,0.710000,0.474439,0.114948,0.677859,0.301950,0.456732,0.677747,0.000000,0.000000,
104752436,0.176102,17.508077,1,0.882141,-0.027161,0.022217,-0.469666,0.130000,0.450000,0.700000,0.490153,0.161866,0.665543,0.234038,0.415535,0.665677,0.000000,0.000000,
104765133,0.269226,17.503434,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.430000,0.710000,0.479830,0.142691,0.676757,0.259552,0.437023,0.676635,0.000000,0.000000,
104773741,0.176102,17.508077,1,0.882141,-0.027161,0.022217,-0.469666,0.060000,0.410000,0.680000,0.416713,0.197119,0.649301,0.215431,0.404859,0.649603,0.000000,0.000000,
104782507,-0.658401,17.512720,1,0.882141,-0.027161,0.022217,-0.469666,0.100000,0.370000,0.700000,0.407225,0.142173,0.671456,-0.281506,0.062171,0.671215,0.000000,0.000000,
104795034,0.732803,17.508077,1,0.882202,-0.027161,0.022217,-0.469604,0.080000,0.330000,0.680000,0.361669,0.135980,0.654530,0.301355,0.459909,0.654714,0.000000,0.000000,
104803861,0.268707,17.512720,1,0.882202,-0.027161,0.022217,-0.469604,0.060000,0.370000,0.680000,0.383605,0.174875,0.652052,0.286684,0.450210,0.652082,0.000000,0.000000,
104812752,-0.009125,17.517363,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.370000,0.710000,0.430182,0.109304,0.680883,0.121134,0.330517,0.680566,0.000000,0.000000,
104825406,-0.194336,17.517363,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.410000,0.700000,0.462630,0.131332,0.668156,-0.055840,0.209554,0.668293,0.000000,0.000000,
104833977,-0.101730,17.512720,1,0.882141,-0.027161,0.022217,-0.469666,0.180000,0.370000,0.700000,0.451852,0.075786,0.670362,-0.080404,0.192159,0.670339,0.000000,0.000000,
104842914,-0.380066,17.517363,1,0.882080,-0.027161,0.022217,-0.469727,0.180000,0.430000,0.700000,0.501498,0.109165,0.666236,-0.250533,0.065339,0.666281,0.000000,0.000000,
104855466,-0.009125,17.517363,1,0.882080,-0.027161,0.022217,-0.469788,0.180000,0.410000,0.680000,0.483681,0.097411,0.647660,-0.110908,0.177412,0.647865,0.000000,0.000000,
104864344,0.268707,17.512720,1,0.882080,-0.027161,0.022217,-0.469788,0.160000,0.370000,0.730000,0.442661,0.093078,0.700562,0.109144,0.383348,0.699981,0.000000,0.000000,
104873186,-0.101730,17.522006,1,0.882080,-0.027161,0.022217,-0.469788,0.100000,0.350000,0.640000,0.386829,0.129301,0.612980,-0.008490,0.289364,0.613939,0.000000,0.000000,
104885667,0.268707,17.522006,1,0.882080,-0.027161,0.022217,-0.469788,0.120000,0.390000,0.700000,0.434967,0.136609,0.669807,0.154600,0.422708,0.669191,0.000000,0.000000,
