Code compiled on Feb 26 2026 at 14:18:31
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.2
Rocket CD,0.5
Airbrake CD,0.75
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.1
Kalman Model V STD,0.2
Kalman Model A STD,0.5
Kalman Measurement Y STD,6
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 285.926588
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
209912362,-0.334029,21.383718,1,0.997009,0.000000,-0.000793,0.077271,0.650000,-0.740000,22.010000,0.727057,-0.634050,12.211088,-0.284652,0.573616,9.139227,0.000000,0.000000,
209922013,-1.366133,21.388358,2,0.997009,0.000000,-0.000793,0.077271,-1.110000,0.490000,86.080000,-1.302811,0.302227,76.278072,-0.341492,1.235211,58.288273,0.000000,0.000000,
209934313,-1.085493,21.383718,2,0.997009,0.000000,-0.000793,0.077087,5.030000,-0.820000,83.090000,4.960538,-0.049114,73.297935,-0.367373,2.072335,69.276108,0.000000,0.000000,
209943465,-1.177992,21.388358,2,0.997070,0.000610,-0.001160,0.076233,6.430000,-0.970000,88.360000,6.308577,-0.093799,78.574141,-0.396191,2.737508,76.082740,0.000000,0.000000,
209955100,-1.273604,21.383718,2,0.997314,0.001526,-0.000854,0.073303,-10.530000,3.020000,90.760000,-10.969496,1.132034,80.947840,-0.414556,3.612104,79.644240,0.000000,0.000000,
209963801,-0.710280,21.383718,2,0.997620,0.003174,0.000366,0.068542,-4.290000,4.360000,95.570000,-4.737754,3.133969,85.796963,-0.398484,4.340472,84.148346,0.000000,0.000000,
209973176,-0.522169,21.383718,2,0.998108,0.004028,0.001282,0.061096,-10.840000,4.340000,96.270000,-10.994891,2.226530,86.524191,-0.361794,5.142404,85.887586,0.000000,0.000000,
209985027,-0.621901,21.369798,2,0.998474,0.003967,0.001953,0.054993,0.630000,3.330000,95.050000,0.657807,2.654494,85.270942,-0.311495,6.134007,85.436171,0.000000,0.000000,
209993930,-0.621901,21.369798,2,0.998840,0.003906,0.001587,0.047546,0.050000,-2.310000,93.170000,0.590975,-3.000509,83.347909,-0.273532,6.851343,83.907457,0.000000,0.000000,
210003447,-0.522169,21.383718,2,0.999268,0.003784,0.001160,0.037720,-3.690000,0.510000,96.810000,-3.476187,-0.489139,87.018118,-0.220184,7.660815,86.184619,0.000000,0.000000,
210014220,-1.177992,21.388358,2,0.999573,0.003845,0.001038,0.028625,2.370000,0.470000,95.930000,2.550828,-0.121427,86.125953,-0.193976,8.516830,86.141673,0.000000,0.000000,
210023610,-0.338179,21.374438,2,0.999817,0.003479,0.000916,0.018860,-7.330000,3.270000,94.440000,-7.269759,2.345639,84.672691,-0.119566,9.300609,85.066304,0.000000,0.000000,
210033351,-1.181105,21.379078,2,1.000000,0.003357,0.000793,0.005981,10.800000,-4.230000,95.970000,11.000716,-4.737936,86.122386,-0.092861,10.059550,85.839409,0.000000,0.000000,
210044368,-0.338179,21.374438,2,0.999939,0.003479,0.000671,-0.007385,9.020000,6.570000,90.550000,9.229460,5.813179,80.780613,0.006959,10.932804,82.136114,0.000000,0.000000,
210053692,-0.058546,21.369798,2,0.999756,0.002991,0.000488,-0.020569,-3.540000,0.720000,83.840000,-3.436276,0.370346,74.046514,0.107596,11.615346,76.214116,0.000000,0.000000,
210063513,0.600450,21.374438,2,0.999451,0.002136,0.000000,-0.033569,0.590000,2.960000,90.490000,0.773035,2.529247,80.701648,0.257360,12.445005,79.499217,0.000000,0.000000,
210075191,0.600450,21.374438,2,0.999084,0.001892,0.000610,-0.043091,0.680000,-6.840000,90.810000,0.182345,-7.204422,80.982831,0.430346,13.415898,80.585298,0.000000,0.000000,
210084243,0.221574,21.365157,2,0.998962,0.001221,0.000916,-0.045471,-3.330000,4.610000,90.390000,-2.750798,4.669355,80.606878,0.541635,14.129607,80.601096,0.000000,0.000000,
210093780,0.788622,21.374438,2,0.999023,0.001343,0.001709,-0.044617,2.520000,-4.230000,89.910000,2.424889,-4.687521,80.089476,0.695910,14.912171,80.226564,0.000000,0.000000,
