Code compiled on Feb  7 2026 at 08:04:56
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,D
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.643
Air Density (kg/m^3),1.18
Rocket CD,0.71
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),200
Launch Acceleration Threshold (m/s^2),20
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 139.806889
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
383594384,-0.210393,11.381326,1,-0.108643,0.021362,-0.012512,0.993774,-0.060000,-0.030000,0.110000,0.057037,0.040046,0.108366,0.000000,0.000000,0.000000,0.000000,0.000000,
383608004,0.152461,11.381326,1,-0.107605,0.021423,-0.012512,0.993896,-0.020000,0.120000,-0.150000,0.038331,-0.109862,-0.154151,0.064808,-0.002076,-0.152434,0.000000,0.000000,
383616888,-0.210393,11.381326,1,-0.107178,0.021362,-0.012512,0.993958,-0.520000,-0.100000,-0.250000,0.475093,0.213824,-0.267436,-0.083337,-0.007019,-0.266169,0.000000,0.000000,
383626115,-0.305181,11.385974,1,-0.106873,0.021301,-0.012512,0.993958,-0.040000,0.400000,-0.080000,0.120215,-0.380579,-0.093260,-0.207903,-0.011345,-0.095165,0.000000,0.000000,
383639428,-0.312322,11.395268,1,-0.106628,0.021301,-0.012451,0.994019,0.190000,0.390000,-0.050000,-0.105311,-0.420417,-0.053823,-0.267139,-0.014630,-0.054279,0.000000,0.000000,
383648350,-0.044255,11.399915,1,-0.106140,0.021301,-0.012451,0.994019,0.440000,0.430000,0.020000,-0.338234,-0.513616,0.024857,-0.140915,-0.004421,0.023985,0.000000,0.000000,
383657232,0.122386,11.418503,1,-0.105164,0.021362,-0.012451,0.994141,0.540000,0.460000,-0.080000,-0.435217,-0.561248,-0.071835,0.008351,0.007574,-0.070779,0.000000,0.000000,
383669941,0.666179,11.418503,1,-0.103577,0.021362,-0.012329,0.994324,0.270000,0.450000,0.090000,-0.167463,-0.497787,0.087646,0.381700,0.044799,0.085901,0.000000,0.000000,
383678614,-0.248113,11.427798,1,-0.101196,0.021362,-0.012146,0.994568,0.310000,0.560000,-0.040000,-0.192738,-0.610144,-0.043492,0.024550,-0.006381,-0.042066,0.000000,0.000000,
383687492,0.390452,11.423151,1,-0.098022,0.021423,-0.011841,0.994873,0.670000,0.520000,0.050000,-0.553079,-0.641825,0.062510,0.232182,0.023174,0.061357,0.000000,0.000000,
