Code compiled on Mar 18 2026 at 17:44:41
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.61
Air Density (kg/m^3),1.208
Rocket CD,0.525
Airbrake CD,0.725
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.75
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 245.028573
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
196592996,0.591987,18.121941,1,0.843262,0.014526,0.010986,0.537231,-0.083997,-0.256356,9.892909,0.525329,-0.315275,0.071022,0.312277,0.055717,0.056044,0.000000,0.000000,
196602324,-0.190560,18.131023,2,0.843262,0.014526,0.010986,0.537231,-2.865765,-2.345659,58.894427,2.915072,-4.341053,48.972306,0.222752,0.443697,32.138695,0.000000,0.000000,
196613778,-0.680642,18.135564,2,0.843262,0.014526,0.010986,0.537231,-3.524536,-9.164410,105.838845,10.415232,-8.413938,95.639960,0.067593,1.385530,73.787193,0.000000,0.000000,
196622877,0.195564,18.121941,2,0.843262,0.014587,0.010986,0.537231,1.331333,-6.972503,109.464041,10.611944,-3.143227,99.327123,0.109440,2.317709,90.538038,0.000000,0.000000,
196633548,-0.190560,18.131023,2,0.843933,0.015137,0.010620,0.536133,-1.384773,-7.558495,109.761214,9.993533,-6.022919,99.612701,0.084076,3.342212,96.489826,0.000000,0.000000,
196642785,0.299552,18.126482,2,0.846863,0.014526,0.010803,0.531555,-0.766244,-6.362667,81.244384,8.127592,-4.525833,71.157434,0.157181,4.016189,79.875100,0.000000,0.000000,
196652556,0.790214,18.121941,2,0.850159,0.014038,0.010742,0.526245,-4.123915,-8.664857,113.109944,9.642570,-8.976109,102.942924,0.320792,5.096209,95.004570,0.000000,0.000000,
196663299,0.591987,18.121941,2,0.854248,0.013123,0.010681,0.519592,-1.705417,-8.269717,107.879114,9.984375,-6.537885,97.742713,0.432114,6.177809,96.800434,0.000000,0.000000,
196672745,0.581184,18.112859,2,0.859436,0.012024,0.010315,0.510986,3.255104,-12.271411,110.170419,15.629972,-4.115400,99.909709,0.523020,7.140826,98.839711,0.000000,0.000000,
196682549,-0.002648,18.121941,2,0.864258,0.012451,0.009949,0.502808,-1.300813,-9.576898,112.640961,11.014804,-7.160333,102.483225,0.499561,8.081503,101.229376,0.000000,0.000000,
196693622,0.299552,18.126482,2,0.868835,0.012634,0.009949,0.494873,0.112839,-7.806195,111.036559,10.071314,-5.232555,100.925365,0.557693,9.174810,101.029984,0.000000,0.000000,
196702897,0.487480,18.117400,2,0.874756,0.012573,0.010254,0.484314,-0.404426,-8.474269,112.250245,10.338286,-6.197059,102.117876,0.634054,10.113689,101.743498,0.000000,0.000000,
196712766,0.382957,18.112859,2,0.881714,0.012268,0.010620,0.471497,-0.075836,-8.436040,112.163349,10.367630,-6.048989,102.032688,0.691736,11.089727,101.933168,0.000000,0.000000,
