Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),224.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 285.586030
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
252301200,-0.430208,-0.430208,34.353459,1,0.325623,-0.009460,-0.006226,-0.945435,0.743786,0.408547,9.844094,-0.199087,-0.610293,0.057808,0.079940,-0.316026,0.006786,0.000000,0.000000,
252309786,-0.108735,-0.108735,34.357989,2,0.325623,-0.009460,-0.006226,-0.945435,4.048435,-1.904753,93.936983,-3.063638,0.686001,84.188659,0.047537,0.367617,55.219053,0.000000,0.000000,
252320996,-0.224489,-0.224489,34.353459,2,0.325623,-0.009460,-0.006226,-0.945435,6.179750,2.915943,103.136430,-1.646643,-4.259138,93.459561,0.007875,1.347744,80.299810,0.000000,0.000000,
252329789,0.484618,0.484618,34.348930,2,0.326050,-0.009521,-0.006104,-0.945251,2.922628,0.451916,102.900254,-0.575797,-0.343684,93.138257,0.112946,2.228367,88.720150,0.000000,0.000000,
252339752,-0.108735,-0.108735,34.357989,2,0.326416,-0.009521,-0.005859,-0.945129,4.957113,8.188567,107.581599,2.675917,-7.626424,97.900038,0.098931,3.176076,94.740952,0.000000,0.000000,
252348798,0.278380,0.278380,34.348930,2,0.322571,-0.009827,-0.006714,-0.946472,11.286854,3.419358,104.443798,-5.359475,-7.613208,94.892177,0.165091,4.055464,94.840137,0.000000,0.000000,
252359280,-0.043092,-0.043092,34.344401,2,0.317383,-0.009827,-0.007263,-0.948242,5.508860,4.901797,102.968792,-0.007035,-5.176449,93.300333,0.173734,5.009907,93.830226,0.000000,0.000000,
252368562,-0.108735,-0.108735,34.357989,2,0.314270,-0.009216,-0.008118,-0.949280,4.099287,2.140685,114.257452,-0.594060,-1.744586,104.533338,0.172341,5.949445,100.850063,0.000000,0.000000,
252378149,0.162627,0.162627,34.344401,2,0.312073,-0.008667,-0.007629,-0.950012,3.443497,3.691553,109.600724,0.698622,-2.844216,99.875787,0.232112,6.905822,100.211065,0.000000,0.000000,
252389267,0.780791,0.780791,34.344401,2,0.308960,-0.008545,-0.007202,-0.950989,3.242366,2.442533,110.755597,0.119209,-1.782516,101.013254,0.417950,8.093517,100.737198,0.000000,0.000000,
252398512,0.072692,0.072692,34.348930,2,0.305603,-0.008606,-0.007080,-0.952087,5.114205,7.366644,109.789060,1.451547,-6.909806,100.125929,0.432302,8.976687,100.336284,0.000000,0.000000,
252408378,0.690337,0.690337,34.348930,2,0.302795,-0.008606,-0.007080,-0.953003,5.668179,8.259200,110.016199,1.470685,-7.959452,100.372195,0.574112,9.998163,100.359838,0.000000,0.000000,
252419115,0.986510,0.986510,34.344401,2,0.298767,-0.008789,-0.007507,-0.954285,5.814694,2.263926,111.623439,-2.115210,-3.001188,101.935424,0.764751,11.142142,101.393217,0.000000,0.000000,
252428621,0.278380,0.278380,34.348930,2,0.294128,-0.009094,-0.007751,-0.955688,1.849779,3.214424,111.448116,1.704590,-1.455247,101.684644,0.784019,12.048777,101.584353,0.000000,0.000000,
252439382,1.167937,1.167937,34.335342,2,0.291077,-0.009033,-0.007202,-0.956604,7.975552,2.976147,108.879038,-3.537509,-4.842094,99.244033,0.991381,13.164531,100.049412,0.000000,0.000000,
252448828,1.373656,1.373656,34.335342,2,0.287720,-0.009460,-0.006897,-0.957642,6.777874,2.295189,110.517545,-2.827516,-3.596275,100.852287,1.192033,14.165035,100.575994,0.000000,0.000000,
252458525,1.102294,1.102294,34.348930,2,0.283875,-0.009644,-0.006775,-0.958801,4.209708,4.765625,110.027513,0.670134,-4.264506,100.324314,1.317260,15.126830,100.410925,0.000000,0.000000,
252469584,1.373656,1.373656,34.335342,2,0.280823,-0.009216,-0.006775,-0.959656,4.816435,2.931597,110.344962,-0.939809,-3.063981,100.640060,1.501299,16.246610,100.561207,0.000000,0.000000,
252478914,2.016722,2.016722,34.344401,2,0.277710,-0.008728,-0.006836,-0.960571,1.813860,2.210299,110.284887,1.075700,-0.855330,100.511024,1.754044,17.248835,100.528296,0.000000,0.000000,
252488634,1.695708,1.695708,34.339871,2,0.273621,-0.008362,-0.006958,-0.961792,3.807507,2.784545,110.673623,-0.413324,-2.391353,100.945533,1.915541,18.222840,100.801948,0.000000,0.000000,
252499358,2.016722,2.016722,34.344401,2,0.267212,-0.008606,-0.007324,-0.963562,3.895650,5.963158,109.587177,1.122269,-5.068803,99.893333,2.135665,19.306816,100.206016,0.000000,0.000000,
252508815,2.610717,2.610717,34.335342,2,0.257812,-0.008911,-0.007690,-0.966125,10.497160,2.096649,109.333199,-6.612713,-4.922830,99.744248,2.411880,20.309031,99.903159,0.000000,0.000000,
252518574,1.991912,1.991912,34.335342,2,0.247070,-0.008911,-0.008728,-0.968933,7.028232,3.183795,109.614116,-3.224596,-3.825152,99.968533,2.536032,21.233022,99.946034,0.000000,0.000000,
252529615,2.610717,2.610717,34.335342,2,0.238525,-0.009033,-0.008484,-0.971069,0.894159,3.339881,109.346396,2.234032,-1.109686,99.569892,2.790542,22.341677,99.699335,0.000000,0.000000,
252539052,2.932280,2.932280,34.339871,2,0.230713,-0.009094,-0.007751,-0.972961,6.850713,2.510062,109.513826,-3.451642,-3.215733,99.853072,3.032454,23.301739,99.800167,0.000000,0.000000,
252549866,3.022246,3.022246,34.335342,2,0.224792,-0.008484,-0.007324,-0.974365,1.716109,4.571067,108.836982,1.898603,-2.896168,99.089117,3.288285,24.372275,99.333812,0.000000,0.000000,
252559325,3.962706,3.962706,34.339871,2,0.221191,-0.007202,-0.007385,-0.975159,4.901825,2.029189,108.434889,-2.381355,-2.050206,98.717635,3.649884,25.390027,98.929684,0.000000,0.000000,
252569025,4.258971,4.258971,34.335342,2,0.216919,-0.007202,-0.007324,-0.976135,2.059051,4.004520,108.757020,1.010730,-2.616499,99.012503,4.015152,26.425461,98.984005,0.000000,0.000000,
252579826,4.877379,4.877379,34.335342,2,0.212097,-0.007385,-0.007751,-0.977173,3.726814,3.000310,108.336481,-0.939574,-2.302232,98.611654,4.468197,27.596169,98.739795,0.000000,0.000000,
252589148,4.902709,4.902709,34.344401,2,0.207275,-0.008362,-0.008301,-0.978210,2.539608,3.969940,108.168238,0.685113,-2.532596,98.436627,4.811293,28.567606,98.540958,0.000000,0.000000,
252598848,4.786895,4.786895,34.339871,2,0.202576,-0.009827,-0.009338,-0.979187,2.603168,3.342864,107.086146,0.588103,-1.718127,97.351091,5.088352,29.508936,97.760561,0.000000,0.000000,
252609899,4.992705,4.992705,34.339871,2,0.197876,-0.011780,-0.010681,-0.980103,3.712366,2.945863,106.758848,-0.266955,-1.432496,97.049631,5.402398,30.570146,97.294284,0.000000,0.000000,
252619376,5.817473,5.817473,34.339871,2,0.193176,-0.014465,-0.012268,-0.980957,2.091733,3.381014,106.484558,1.861564,-0.763968,96.742820,5.774368,31.538211,96.932598,0.000000,0.000000,
252629154,5.817473,5.817473,34.339871,2,0.188416,-0.017395,-0.014221,-0.981812,3.257684,3.141777,105.250841,1.163859,-0.493953,95.540825,6.095345,32.477653,96.019778,0.000000,0.000000,
252639885,6.551848,6.551848,34.344401,2,0.183655,-0.020874,-0.016541,-0.982605,2.650587,2.787471,106.114106,2.246678,0.706519,96.353903,6.535117,33.567084,96.238922,0.000000,0.000000,
252649334,6.230162,6.230162,34.339871,2,0.178833,-0.024658,-0.019165,-0.983398,1.914119,3.604282,104.471317,3.830980,0.812969,94.678654,6.799200,34.423583,95.215590,0.000000,0.000000,
252659059,7.376769,7.376769,34.344401,2,0.173950,-0.028809,-0.022095,-0.984070,2.373763,2.650916,103.455161,3.756999,2.230160,93.618486,7.246684,35.404318,94.168101,0.000000,0.000000,
252670126,7.944152,7.944152,34.326283,2,0.169006,-0.033203,-0.025330,-0.984741,1.778753,3.307671,102.200271,5.239704,2.531500,92.299746,7.774997,36.511100,92.942708,0.000000,0.000000,
252679519,8.265898,8.265898,34.330812,2,0.164062,-0.037720,-0.028809,-0.985291,1.771525,2.678716,101.918527,5.813328,3.943099,91.922862,8.214117,37.434736,92.273825,0.000000,0.000000,
252690419,8.704009,8.704009,34.339871,2,0.158997,-0.042542,-0.032471,-0.985840,1.465917,2.666343,101.303104,6.905892,4.868464,91.189984,8.719507,38.488737,91.562970,0.000000,0.000000,
252699684,8.910918,8.910918,34.339871,2,0.153931,-0.047363,-0.036255,-0.986267,1.002656,2.908260,100.985199,8.247626,5.621665,90.738330,9.115898,39.352731,91.022115,0.000000,0.000000,
252709302,9.736052,9.736052,34.339871,2,0.148804,-0.052246,-0.040222,-0.986694,0.934164,2.033834,100.319285,8.854166,7.306922,89.880382,9.614834,40.292489,90.273291,0.000000,0.000000,
252720012,10.470153,10.470153,34.344401,2,0.143616,-0.057129,-0.044250,-0.987000,0.472124,2.644001,99.216628,10.242760,7.633432,88.625268,10.211864,41.345336,89.192408,0.000000,0.000000,
252729460,10.238372,10.238372,34.335342,2,0.138428,-0.061829,-0.048279,-0.987244,0.279329,1.867703,98.945052,11.006457,9.255490,88.112122,10.611352,42.180730,88.483882,0.000000,0.000000,
252739126,11.475981,11.475981,34.335342,2,0.133240,-0.066406,-0.052246,-0.987488,0.080577,2.254167,98.054686,12.027114,9.662481,87.059944,11.185217,43.126522,87.549969,0.000000,0.000000,
252750128,11.978392,11.978392,34.330812,2,0.127991,-0.070679,-0.056152,-0.987671,-0.177696,1.718843,97.042804,12.763348,10.909621,85.795126,11.813628,44.166340,86.399025,0.000000,0.000000,
252759751,12.945037,12.945037,34.344401,2,0.122681,-0.074646,-0.059875,-0.987793,-0.198876,1.437683,96.391618,13.351307,11.830386,84.938136,12.454852,45.121567,85.440879,0.000000,0.000000,
252769437,12.920195,12.920195,34.335342,2,0.117310,-0.078186,-0.063416,-0.987976,-0.553747,1.686603,95.512651,14.276568,12.208944,83.865492,12.983055,45.990100,84.407633,0.000000,0.000000,
252780180,13.563964,13.563964,34.344401,2,0.111755,-0.081299,-0.066711,-0.988159,-0.692257,0.996311,95.115996,14.761677,13.448066,83.207480,13.590874,46.954259,83.620492,0.000000,0.000000,
252789639,14.363036,14.363036,34.335342,2,0.105652,-0.083801,-0.069824,-0.988403,-0.802298,0.951025,93.039690,15.016795,13.716388,80.994814,14.183407,47.813681,81.898395,0.000000,0.000000,
252800694,15.098540,15.098540,34.339871,2,0.098938,-0.085815,-0.072693,-0.988708,-0.872539,0.546768,93.523919,15.478365,14.658527,81.269795,14.888688,48.822566,81.486119,0.000000,0.000000,
252809907,15.692229,15.692229,34.330812,2,0.091614,-0.087158,-0.075256,-0.989136,-0.726622,0.348780,91.740511,15.320285,14.903223,79.419906,15.492583,49.651848,80.130958,0.000000,0.000000,
252819748,16.427275,16.427275,34.335342,2,0.083435,-0.087769,-0.077576,-0.989624,-0.784892,0.782667,91.232678,15.570592,14.699969,78.892256,16.160282,50.540852,79.318536,0.000000,0.000000,
