Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,QF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),225
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 293.222158
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
157716822,0.506144,0.506144,35.653256,1,0.736694,-0.023315,0.008240,-0.675781,0.756380,-0.049127,10.161507,0.455114,-0.532051,0.364438,0.149034,0.134169,0.272100,0.000000,0.000000,
157726383,-0.320913,-0.320913,35.653256,2,0.736694,-0.023315,0.008240,-0.675781,8.905611,1.100280,95.677492,6.037057,-6.565591,85.881416,0.069952,0.907759,56.420582,0.000000,0.000000,
157737264,-0.554678,-0.554678,35.644200,2,0.736633,-0.023315,0.008240,-0.675781,10.259361,0.558242,100.479690,5.824124,-7.848334,90.728636,-0.030296,1.807317,78.922163,0.000000,0.000000,
157746984,0.065958,0.065958,35.644200,2,0.736755,-0.023193,0.008423,-0.675720,4.850965,-4.618809,105.055237,0.414058,-2.839509,95.428045,0.010576,2.750551,89.747857,0.000000,0.000000,
157758046,-0.320913,-0.320913,35.653256,2,0.737305,-0.023010,0.008545,-0.675110,7.818924,-0.139733,103.373341,5.060099,-5.485820,93.598002,-0.015259,3.744487,92.273046,0.000000,0.000000,
157767505,-0.050405,-0.050405,35.639671,2,0.732788,-0.024658,0.008179,-0.679993,4.394214,2.452352,105.116262,7.554774,-1.571432,95.150108,0.017962,4.641356,94.160021,0.000000,0.000000,
157778129,-0.230917,-0.230917,35.648728,2,0.728516,-0.024231,0.007751,-0.684509,4.410489,0.694484,106.544928,5.707082,-1.731099,96.669033,0.026128,5.637156,95.805603,0.000000,0.000000,
157787571,0.596140,0.596140,35.648728,2,0.724304,-0.023438,0.007324,-0.689087,4.082631,-2.020486,104.402178,2.667237,-1.688110,94.652138,0.190512,6.601495,95.049084,0.000000,0.000000,
157797122,-0.024557,-0.024557,35.648728,2,0.717773,-0.023376,0.007202,-0.695801,7.079846,0.014565,105.313722,4.746215,-4.602783,95.542928,0.217596,7.487553,95.372980,0.000000,0.000000,
157808078,0.775645,0.775645,35.639671,2,0.708374,-0.023682,0.006592,-0.705383,4.577570,1.385012,98.874593,5.632270,-2.178911,89.004233,0.409458,8.533956,91.195919,0.000000,0.000000,
