Code compiled on Mar  5 2026 at 17:39:47
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,WT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.58
Air Density (kg/m^3),1.22
Rocket CD,0.5
Airbrake CD,0.75
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.1
Kalman Model V STD,0.2
Kalman Model A STD,0.5
Kalman Measurement Y STD,6
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),10
Control Max Velocity (dep/s),2

Calibration point: 221.567405
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
25767439,-0.435722,25.771818,1,-0.603577,0.095276,0.789856,-0.052246,8.770000,-1.410000,-3.540000,1.072633,0.374673,-0.305669,0.000000,0.000000,0.000000,0.250000,0.250000,
25779390,0.074333,25.832099,1,-0.601868,0.084106,0.792358,-0.053772,10.090000,-2.050000,-3.120000,0.187323,-0.158305,0.953073,0.000251,0.007593,0.635382,0.250000,0.250000,
25788297,-0.095680,25.859921,1,-0.599915,0.074219,0.794678,-0.055176,9.820000,-2.100000,-2.660000,-0.186397,-0.262355,0.579822,-0.000189,0.012766,0.594975,0.250000,0.250000,
25797816,0.287514,25.869195,1,-0.598755,0.066650,0.796143,-0.056885,9.330000,-1.430000,-2.310000,-0.391716,0.242464,-0.094774,0.002279,0.012071,0.090281,0.250000,0.250000,
25808566,0.391274,25.883106,1,-0.597900,0.058533,0.797363,-0.057861,9.590000,-0.260000,-2.520000,-0.255796,1.357688,0.019197,0.006646,0.012430,0.038246,0.250000,0.250000,
25818053,-0.350959,25.901654,1,-0.596680,0.048584,0.798950,-0.057434,8.920000,-0.720000,-2.330000,-0.291259,0.663347,-0.579695,0.001887,0.006589,-0.414117,0.250000,0.250000,
25827744,-0.435203,25.915565,1,-0.595276,0.038757,0.800598,-0.056396,9.000000,-1.490000,-2.750000,0.048995,-0.199028,-0.274200,-0.005065,0.003583,-0.311691,0.250000,0.250000,
25838746,0.421578,25.929475,1,-0.593872,0.030273,0.802063,-0.055786,9.270000,-0.110000,-2.520000,-0.297666,1.081553,-0.254255,0.002848,0.001236,-0.269645,0.250000,0.250000,
25848028,-0.514305,25.938749,1,-0.592346,0.022095,0.803467,-0.055115,9.000000,-0.470000,-2.410000,-0.356667,0.586093,-0.500346,-0.007955,-0.004268,-0.438530,0.250000,0.250000,
25857800,-0.599571,25.952660,1,-0.590698,0.015137,0.804932,-0.054749,8.730000,-0.340000,-2.220000,-0.503544,0.587017,-0.815723,-0.021725,-0.013331,-0.714654,0.250000,0.250000,
25868506,-0.307304,25.966571,1,-0.589600,0.008728,0.805847,-0.054016,9.130000,-0.610000,-2.030000,-0.821167,0.255656,-0.463520,-0.029108,-0.019015,-0.530812,0.250000,0.250000,
25878011,0.160637,25.961934,1,-0.588745,0.003479,0.806519,-0.053833,9.540000,-0.450000,-1.910000,-1.087083,0.367951,-0.125187,-0.024088,-0.019569,-0.233873,0.250000,0.250000,
25887689,-0.203544,25.980481,1,-0.588318,-0.000183,0.806885,-0.053467,9.560000,-0.030000,-2.200000,-0.849694,0.755284,-0.061973,-0.029535,-0.020756,-0.108034,0.250000,0.250000,
25898588,0.179634,25.989755,1,-0.588562,-0.002380,0.806702,-0.053101,9.630000,0.380000,-2.410000,-0.689889,1.154272,0.042498,-0.023233,-0.019543,0.002163,0.250000,0.250000,
