Code compiled on Mar  8 2026 at 08:43:54
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,FLT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.58
Air Density (kg/m^3),1.266
Rocket CD,0.525
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,6
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),30
Control Max Velocity (dep/s),2

Calibration point: 233.420515
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
160353224,0.318376,12.185234,1,0.849548,0.012939,0.014343,0.527100,-0.000367,0.513857,20.502102,0.313674,0.084044,10.708748,0.187290,0.183693,7.879892,0.000000,0.000000,
160360877,-0.141875,12.189881,2,0.849548,0.012939,0.014343,0.527100,-3.195723,3.631496,81.450090,-1.579074,-1.813050,71.761218,0.164612,0.711044,54.644268,0.000000,0.000000,
160383564,0.318376,12.185234,2,0.845825,0.013123,0.014832,0.533081,2.120569,3.816840,83.392393,0.726980,3.019962,73.651037,0.212743,2.323575,68.558188,0.000000,0.000000,
160391971,0.046861,12.180587,2,0.845825,0.013123,0.014832,0.533081,0.468326,2.038568,94.480437,2.042150,0.673519,84.681349,0.222289,3.059148,80.361161,0.000000,0.000000,
160401480,0.051485,12.171294,2,0.842529,0.013550,0.013916,0.538269,-3.191520,4.267923,93.626098,-1.674825,-1.844471,83.948657,0.240462,3.837931,82.987391,0.000000,0.000000,
160410389,0.878435,12.166648,2,0.840149,0.013123,0.013245,0.542053,-0.923794,1.914423,95.032490,1.324159,-0.784802,85.237410,0.333617,4.676234,84.634519,0.000000,0.000000,
160419263,0.967409,12.171294,2,0.837524,0.012451,0.012756,0.546143,4.375189,-12.389966,93.330547,16.354395,-1.642363,83.000061,0.433333,5.489717,83.438013,0.000000,0.000000,
160429389,0.873796,12.175941,2,0.833435,0.011841,0.011963,0.552368,1.300584,-1.938377,94.157578,5.371960,-0.178063,84.226753,0.531463,6.395440,84.015411,0.000000,0.000000,
160438553,0.323519,12.175941,2,0.828491,0.011475,0.011047,0.559814,2.341701,0.820443,96.640178,3.114700,1.836265,86.799392,0.575772,7.166215,86.053426,0.000000,0.000000,
160448132,1.239473,12.175941,2,0.824158,0.011719,0.010925,0.566162,-1.792577,2.597293,97.115804,-0.031523,-1.422076,87.351761,0.705964,8.082593,87.003873,0.000000,0.000000,
160458929,0.967409,12.171294,2,0.819519,0.012024,0.011658,0.572815,-0.800344,3.225978,93.308699,-0.239280,-0.237014,83.561936,0.820679,9.017347,84.484200,0.000000,0.000000,
160468388,1.056886,12.175941,2,0.813599,0.012451,0.012146,0.581116,0.002918,-3.965382,91.908130,6.888511,-1.847410,81.910503,0.930059,9.820014,82.600123,0.000000,0.000000,
