,,,,,,,,,,,,,
time stamp,raw pressure,raw temperature,raw ax,raw ay,raw aZ,calcualted alt,y estimate,v estimate,a estimate,apogee estimate,servo deployment,flight mode,
200098,raw pressure,27.96,0.01,0.03,1.00,0.17,-193406.95,-1933.12,-9.66,apogee estimate,servo deployment,0,
200188,raw pressure,27.96,0.01,0.03,1.00,0.29,-0.29,-6.73,-0.04,apogee estimate,servo deployment,0,
200278,raw pressure,27.96,0.01,0.03,1.00,-0.10,-0.36,-6.87,-0.02,apogee estimate,servo deployment,0,
200368,raw pressure,27.97,0.01,0.03,1.00,-0.02,-0.71,-6.89,-0.01,apogee estimate,servo deployment,0,
200458,raw pressure,27.97,0.01,0.03,1.00,0.01,-0.85,-6.73,-0.00,apogee estimate,servo deployment,0,
200562,raw pressure,27.97,0.01,0.03,1.00,-0.14,-1.07,-6.49,-0.00,apogee estimate,servo deployment,0,
200653,raw pressure,27.97,0.01,0.03,1.00,0.08,-0.87,-5.97,-0.00,apogee estimate,servo deployment,0,
200742,raw pressure,27.97,0.01,0.03,1.00,-0.02,-0.82,-5.58,-0.00,apogee estimate,servo deployment,0,
200832,raw pressure,27.97,0.01,0.03,1.00,0.12,-0.68,-5.13,-0.00,apogee estimate,servo deployment,0,
200920,raw pressure,27.97,0.01,0.03,1.00,0.15,-0.56,-4.73,0.00,apogee estimate,servo deployment,0,
201010,raw pressure,27.97,0.01,0.03,1.00,0.07,-0.55,-4.41,0.00,apogee estimate,servo deployment,0,
201114,raw pressure,27.97,0.02,0.03,1.00,-0.08,-0.68,-4.17,0.00,apogee estimate,servo deployment,0,
201203,raw pressure,27.97,0.01,0.03,1.00,-0.26,-0.76,-3.93,0.00,apogee estimate,servo deployment,0,
201293,raw pressure,27.97,0.01,0.03,1.00,0.01,-0.58,-3.51,0.00,apogee estimate,servo deployment,0,
201382,raw pressure,27.98,0.01,0.03,1.00,0.10,-0.42,-3.14,0.00,apogee estimate,servo deployment,0,
201472,raw pressure,27.97,0.01,0.03,1.00,-0.26,-0.59,-3.05,0.00,apogee estimate,servo deployment,0,
201561,raw pressure,27.98,0.01,0.03,1.00,-0.13,-0.54,-2.80,0.00,apogee estimate,servo deployment,0,
201651,raw pressure,27.98,0.01,0.03,1.00,-0.18,-0.54,-2.60,0.00,apogee estimate,servo deployment,0,
201754,raw pressure,27.98,0.01,0.03,1.00,0.20,-0.29,-2.18,0.00,apogee estimate,servo deployment,0,
201845,raw pressure,27.98,0.01,0.03,1.00,-0.16,-0.39,-2.10,0.00,apogee estimate,servo deployment,0,
201933,raw pressure,27.98,0.01,0.03,1.00,0.41,-0.01,-1.63,0.00,apogee estimate,servo deployment,0,
202023,raw pressure,27.98,0.01,0.03,1.00,0.04,-0.12,-1.60,0.00,apogee estimate,servo deployment,0,
202111,raw pressure,27.98,0.01,0.03,1.00,0.05,-0.14,-1.50,0.00,apogee estimate,servo deployment,0,
202202,raw pressure,27.98,0.01,0.03,1.00,0.34,0.06,-1.23,0.00,apogee estimate,servo deployment,0,
202306,raw pressure,27.98,0.01,0.03,1.00,0.02,-0.10,-1.25,0.00,apogee estimate,servo deployment,0,
202395,raw pressure,27.98,0.01,0.03,1.00,0.12,-0.05,-1.11,0.00,apogee estimate,servo deployment,0,
202485,raw pressure,27.98,0.01,0.03,1.00,0.18,0.01,-0.97,0.00,apogee estimate,servo deployment,0,
202574,raw pressure,27.98,-0.18,0.09,3.95,0.95,0.58,-0.43,0.00,apogee estimate,servo deployment,1,
202664,raw pressure,27.98,0.05,-0.08,4.00,1.55,1.41,2.64,16.06,apogee estimate,servo deployment,1,
202753,raw pressure,27.99,-0.06,-0.08,4.00,3.07,2.96,6.18,23.47,apogee estimate,servo deployment,1,
202843,raw pressure,28.00,-0.15,-0.04,4.00,5.60,5.50,10.33,26.77,apogee estimate,servo deployment,1,
202946,raw pressure,28.01,-0.16,0.10,4.00,9.72,9.72,15.80,28.23,apogee estimate,servo deployment,1,
203037,raw pressure,28.01,-0.22,0.35,4.00,15.25,15.22,21.95,28.88,apogee estimate,servo deployment,1,
203125,raw pressure,28.02,-0.34,0.56,4.00,21.34,21.58,28.20,29.17,apogee estimate,servo deployment,1,
203215,raw pressure,28.02,-0.47,0.54,4.00,25.97,27.31,33.38,29.30,apogee estimate,servo deployment,1,
203303,raw pressure,28.03,-0.34,0.27,4.00,28.54,31.22,36.68,29.35,apogee estimate,servo deployment,1,
203394,raw pressure,28.03,0.02,-0.07,4.00,33.04,35.96,40.40,29.38,apogee estimate,servo deployment,1,
203498,raw pressure,28.03,0.12,-0.07,3.96,39.65,42.94,45.62,29.39,apogee estimate,servo deployment,1,
203587,raw pressure,28.03,0.02,0.31,0.84,45.39,48.86,49.75,29.18,apogee estimate,servo deployment,1,
