time,altitude,Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,accel_x,accel_y,accel,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,deployment,filtered_altitude,filtered_velocity,filtered_accel,saturated,predicted_apogee,predicted_apogee_no_brake,cd_total,cd_calculated,integrated_vx,integrated_vy,integrated_x,integrated_y
0,-0.151543,18.710465,2,0.302856,0.015198,-0.016785,-0.952759,0.27,-2.14,67.19,-4.08313,3.120655,67.027885,0.137417,0.776821,66.296693,0,0,-0.149175054,0.526739098,65.84271611,FALSE,-0.135033866,-0.135033866,0.4,,0,0,0,0
0.012487,-1.175392,18.705823,2,0.302856,0.015198,-0.016785,-0.952759,-1.92,0.05,74.89,-1.334498,2.774055,74.85135,-0.608725,0.777801,74.75708,0,0,-0.233455913,1.360463266,74.16332289,FALSE,-0.139129555,-0.139129555,0.4,,-0.03382496,0.036803622,-0.000211186,0.000229783
0.021372,-0.709785,18.710465,2,0.302856,0.015198,-0.016724,-0.952759,-1.04,-4.62,73.7,-4.696027,6.040616,73.454557,-0.657646,1.343995,73.468911,0,0,-0.260567545,2.017400265,73.50893215,FALSE,-0.053174709,-0.053174709,0.4,,-0.060615568,0.075962798,-0.000630738,0.000730748
0.030247,-0.989662,18.696539,2,0.302551,0.01532,-0.016296,-0.952881,7.53,3.44,79.89,-7.286711,-5.413457,79.8032,-0.834726,1.800251,79.733398,0,0,-0.299705998,2.671277677,79.3203031,FALSE,0.063856308,0.063856308,0.4,,-0.113788968,0.078745816,-0.001404658,0.001417268
0.042708,-0.244667,18.705823,2,0.303284,0.016296,-0.015991,-0.952637,-3.71,0.14,82.4,-0.251207,3.727555,82.398947,-0.463436,3.251169,82.369573,0,0,-0.259071768,3.662644942,82.16275308,FALSE,0.424193764,0.424193764,0.4,,-0.160753966,0.068241803,-0.003115198,0.002333074
0.051279,-0.896019,18.701181,2,0.307007,0.017334,-0.015442,-0.951416,-9.82,1.49,81.87,5.355671,6.067806,82.072188,-0.683858,3.58342,82.075465,0,0,-0.272250491,4.362982548,82.07913616,FALSE,0.697010562,0.697010562,0.4,,-0.138878785,0.110219823,-0.004399274,0.003097871
0.060147,-0.337272,18.710465,2,0.311279,0.0177,-0.01593,-0.950012,1.14,0.46,84.22,-4.314165,0.575601,84.116442,-0.448285,4.588375,84.093951,0,0,-0.237517997,5.0915571,83.96013966,FALSE,1.082016158,1.082016158,0.4,0,-0.134260748,0.13967669,-0.005610375,0.004205913
0.07269,-0.709785,18.710465,2,0.316284,0.017883,-0.016846,-0.948364,-0.75,2.59,83.78,-1.582851,0.109021,83.808364,-0.535892,5.452733,83.811511,0,0,-0.201869915,6.140348542,83.82000824,FALSE,1.716099133,1.716099133,0.4,0,-0.171243883,0.143970297,-0.007526347,0.005984805
0.081579,-0.896019,18.701181,2,0.322815,0.017822,-0.017151,-0.946167,1.28,-3.7,85.66,-7.107983,3.938824,85.363535,-0.693377,5.901565,85.346432,0,0,-0.190145031,6.880155198,85.24511544,FALSE,2.216635329,2.216635329,0.4,0,-0.209870295,0.161960944,-0.009220209,0.007344516
0.09046,-0.244667,18.705823,2,0.330872,0.017883,-0.017212,-0.943359,-0.38,5.66,84.03,0.03408,-2.44577,84.185742,-0.377918,6.991595,84.198533,0,0,-0.132701396,7.635397825,84.26701725,FALSE,2.829797673,2.829797673,0.4,0,-0.241281961,0.16859085,-0.011223551,0.008812331
