Code compiled on Mar 13 2026 at 16:53:56
ï»¿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Locko-1.091170,-0.122255,37.159428,0.094781,1.121860,27.357259,-0.335754,0.415234,19.999883,0.000000,0.000000,
231755675,-0.820862,14.306314,2,-0.822876,0.006165,-0.005493,0.568176,-1.438442,-0.380044,88.872421,0.560471,1.557124,79.068132,-0.373981,1.135287,63.240842,0.000000,0.000000,
231767684,-1.315537,14.301770,2,-0.822937,0.006165,-0.005493,0.568054,-4.617288,-4.571850,97.605378,-4.345787,3.077193,87.875069,-0.447226,2.047811,81.274347,0.000000,0.000000,
231776668,-0.726135,14.301770,2,-0.823242,0.006104,-0.005737,0.567566,-4.685522,-0.077097,101.308743,-0.083503,4.713332,91.506276,-0.452636,2.837393,88.764639,0.000000,0.000000,
231787475,-0.340058,14.292683,2,-0.823975,0.006104,-0.005676,0.566528,-3.917142,2.959914,102.586351,3.026903,5.092175,92.731515,-0.405147,3.854010,91.668594,0.000000,0.000000,
231796707,-0.528977,14.301770,2,-0.822876,0.006287,-0.005371,0.568176,-5.977840,-2.247506,102.998541,-2.576587,5.236668,93.230255,-0.377962,4.697741,92.811809,0.000000,0.000000,
231806326,-0.238129,14.297227,2,-0.821350,0.006287,-0.005188,0.570435,-4.668159,-0.812917,103.917389,-0.770437,4.548692,94.121942,-0.314358,5.622721,93.770893,0.000000,0.000000,
231817412,-1.016983,14.306314,2,-0.820496,0.006165,-0.005310,0.571655,-3.028264,1.975647,103.876132,2.431277,3.948312,94.034296,-0.316828,6.566495,93.963717,0.000000,0.000000,
231826922,-0.238129,14.297227,2,-0.819580,0.005920,-0.005371,0.572937,-1.109737,1.249234,103.133507,2.391195,1.844717,93.301610,-0.242267,7.464776,93.479021,0.000000,0.000000,
231836669,-0.536194,14.292683,2,-0.817383,0.005493,-0.005310,0.576050,-4.709010,1.715325,105.150116,1.601403,5.312762,95.322002,-0.194482,8.352290,94.828176,0.000000,0.000000,
231847451,-0.143402,14.292683,2,-0.814636,0.004883,-0.005005,0.579956,-5.569412,-0.249384,106.001351,-0.599551,5.411730,96.207409,-0.093647,9.396440,95.837845,0.000000,0.000000,
231856896,-0.536194,14.292683,2,-0.811890,0.004639,-0.005005,0.583801,-3.069870,0.386466,103.377959,0.786109,3.213708,93.570603,-0.045409,10.216455,94.178109,0.000000,0.000000,
231867763,-0.041474,14.297227,2,-0.808411,0.004395,-0.005066,0.588623,-6.973140,11.034835,103.469478,9.732776,10.149124,93.536249,0.071512,11.233670,93.708235,0.000000,0.000000,
231877101,0.154663,14.297227,2,-0.803162,0.004211,-0.004639,0.595703,-4.588966,1.523983,104.934931,1.433198,4.967146,95.118375,0.189002,12.134239,94.740529,0.000000,0.000000,
231886922,0.344116,14.288139,2,-0.797180,0.003784,-0.004150,0.603760,-4.569535,1.998372,104.859845,1.848013,5.054810,95.040007,0.328402,13.089645,94.959762,0.000000,0.000000,
231898021,0.446060,14.292683,2,-0.791565,0.003418,-0.004028,0.611023,-6.671320,-2.253077,105.757861,-2.754485,5.935723,95.989390,0.491508,14.171343,95.713502,0.000000,0.000000,
231907451,0.744659,14.297227,2,-0.785645,0.004395,-0.003784,0.618591,-4.478152,-0.711074,106.269464,-0.536963,4.426292,96.472220,0.655040,15.117602,96.268922,0.000000,0.000000,
231917156,0.642197,14.292683,2,-0.779785,0.005188,-0.003784,0.625977,-2.597601,1.217557,104.647348,1.919744,3.143335,94.820826,0.804878,16.035988,95.208842,0.000000,0.000000,
231927824,0.839386,14.292683,2,-0.773743,0.005920,-0.003662,0.633484,0.583688,-3.110749,104.201437,-1.565611,-0.723715,94.434479,0.984783,17.048503,94.641969,0.000000,0.000000,
231937299,0.650436,14.301770,2,-0.768250,0.006653,-0.003845,0.640137,-6.044616,-2.926322,105.305718,-2.456850,5.968835,95.520814,1.116875,17.906130,95.285328,0.000000,0.000000,
231947007,1.036056,14.292683,2,-0.763855,0.006592,-0.004333,0.645325,-4.625822,-3.101613,103.832615,-2.261735,4.498599,94.058395,1.286950,18.807806,94.387151,0.000000,0.000000,
231958018,1.428909,14.292683,2,-0.760254,0.006348,-0.004578,0.649597,-12.017069,4.844150,99.296075,4.417217,12.990497,89.391736,1.513636,19.813881,90.730253,0.000000,0.000000,
231967574,1.916504,14.288139,2,-0.755310,0.005554,-0.004700,0.655334,-4.209113,0.964242,97.987933,1.767562,4.519496,88.161771,1.747607,20.712954,88.849994,0.000000,0.000000,
231977410,3.686874,14.288139,2,-0.749451,0.004456,-0.004456,0.662048,-3.933850,-1.298578,104.459374,-0.464096,3.832248,94.669746,2.151816,21.918503,93.110348,0.000000,0.000000,
231988169,3.009170,14.301770,2,-0.744995,0.004150,-0.003967,0.666992,-6.181202,-0.019630,103.781811,0.484451,6.236923,93.976893,2.479688,23.050340,93.744704,0.000000,0.000000,
231997678,3.592117,14.292683,2,-0.746338,0.004395,-0.003662,0.665588,-5.453636,-0.294664,103.615240,0.256694,5.555413,93.809120,2.815478,24.100299,93.791860,0.000000,0.000000,
232007553,3.592117,14.292683,2,-0.750244,0.004028,-0.004028,0.661133,-5.662453,-0.958926,103.371692,-0.490318,5.577867,93.579336,3.136381,25.133911,93.636282,0.000000,0.000000,
232018512,4.465561,14.279051,2,-0.754517,0.003723,-0.003540,0.656250,-7.643483,-2.055350,105.915778,-2.012946,7.391897,96.134257,3.551914,26.373640,95.464927,0.000000,0.000000,
232028003,4.772018,14.292683,2,-0.758484,0.003479,-0.002502,0.651672,-4.531320,-0.826390,102.715652,-0.646382,4.554482,92.915267,3.929580,27.427687,93.598447,0.000000,0.000000,
