Code compiled on Mar  4 2026 at 09:35:59
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,ACFG
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.58
Air Density (kg/m^3),1.22
Rocket CD,0.5
Airbrake CD,0.75
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.1
Kalman Model V STD,0.2
Kalman Model A STD,0.5
Kalman Measurement Y STD,6
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),10
Control Max Velocity (dep/s),2

Calibration point: 189.827799
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
98034816,0.178960,22.692104,1,-0.003906,-0.948669,-0.316162,0.001587,0.440000,-0.260000,-9.440000,0.199882,0.546884,-0.364687,0.000000,0.000000,0.000000,0.000000,0.000000,
98044892,0.827306,22.678186,1,-0.003906,-0.948669,-0.316162,0.001587,0.440000,-0.210000,-9.400000,0.229855,0.506550,-0.404362,0.002278,-0.002716,-0.269574,0.000000,0.000000,
98052719,-0.194865,22.692104,1,-0.003906,-0.948669,-0.316162,0.001587,0.420000,-0.240000,-9.440000,0.195878,0.518888,-0.364450,0.001156,-0.005551,-0.338575,0.000000,0.000000,
98061006,0.367940,22.701382,1,-0.003906,-0.948669,-0.316162,0.001587,0.420000,-0.210000,-9.440000,0.213875,0.494889,-0.364257,0.004116,-0.008512,-0.357367,0.000000,0.000000,
98070980,0.276266,22.706021,1,-0.003906,-0.948669,-0.316162,0.001587,0.440000,-0.240000,-9.420000,0.211869,0.530717,-0.384557,0.006976,-0.012259,-0.377270,0.000000,0.000000,
98079783,0.000753,22.719939,1,-0.003906,-0.948669,-0.316162,0.001587,0.420000,-0.220000,-9.460000,0.207887,0.503057,-0.344324,0.006772,-0.015287,-0.353152,0.000000,0.000000,
98088980,0.190740,22.729217,1,-0.003906,-0.948669,-0.316162,0.001587,0.440000,-0.240000,-9.400000,0.211858,0.530548,-0.404554,0.009561,-0.018872,-0.390781,0.000000,0.000000,
98099865,0.285482,22.733856,1,-0.003906,-0.948669,-0.316162,0.001587,0.400000,-0.220000,-9.440000,0.191874,0.490892,-0.364212,0.014432,-0.022569,-0.371331,0.000000,0.000000,
98109089,0.193304,22.738496,1,-0.003906,-0.948669,-0.316162,0.001587,0.420000,-0.260000,-9.440000,0.183881,0.534887,-0.364578,0.017937,-0.025679,-0.366387,0.000000,0.000000,
98118834,0.380224,22.738496,1,-0.003906,-0.948669,-0.316162,0.001587,0.440000,-0.240000,-9.420000,0.211869,0.530717,-0.384557,0.026039,-0.028783,-0.379688,0.000000,0.000000,
98130895,-0.174372,22.757052,1,-0.003906,-0.948669,-0.316162,0.001587,0.400000,-0.240000,-9.460000,0.179887,0.507059,-0.344343,0.020602,-0.033400,-0.353813,0.000000,0.000000,
98139731,0.015615,22.766331,1,-0.003906,-0.948669,-0.316162,0.001587,0.470000,-0.220000,-9.440000,0.247880,0.532882,-0.364595,0.020155,-0.036643,-0.361706,0.000000,0.000000,
98149073,0.199453,22.757052,1,-0.003906,-0.948669,-0.316162,0.001587,0.400000,-0.210000,-9.440000,0.197873,0.482892,-0.364148,0.025051,-0.039465,-0.363494,0.000000,0.000000,
98160880,-0.355647,22.775609,1,-0.003906,-0.948669,-0.316162,0.001587,0.440000,-0.210000,-9.440000,0.229876,0.506886,-0.364367,0.012697,-0.045190,-0.364133,0.000000,0.000000,
