Code compiled on Mar  5 2026 at 17:16:38
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,WT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.58
Air Density (kg/m^3),1.22
Rocket CD,0.5
Airbrake CD,0.75
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.1
Kalman Model V STD,0.2
Kalman Model A STD,0.5
Kalman Measurement Y STD,6
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),10
Control Max Velocity (dep/s),2

Calibration point: 219.628773
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
35847872,0.785900,24.403749,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.130000,0.900000,-0.277058,-0.436985,0.119978,0.000000,0.000000,0.000000,0.250000,0.250000,
35858072,0.039150,24.413025,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.070000,0.880000,-0.234754,-0.512979,0.125918,0.000113,0.000856,0.083945,0.250000,0.250000,
35866632,-0.234577,24.426939,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.900000,-0.268570,-0.461460,0.150458,-0.001168,0.002099,0.132318,0.250000,0.250000,
35873918,-0.331120,24.422301,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.130000,0.880000,-0.245088,-0.468333,0.164647,-0.003864,0.003256,0.155974,0.250000,0.250000,
35883868,0.054043,24.440853,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.910000,-0.278190,-0.464142,0.150983,-0.003193,0.004777,0.152320,0.250000,0.250000,
35892690,-0.128788,24.450129,1,0.708679,0.322327,-0.608154,-0.155090,7.850000,6.110000,0.950000,-0.304736,-0.514227,0.170653,-0.004839,0.006224,0.165741,0.250000,0.250000,
35901333,0.343182,24.454767,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.130000,0.880000,-0.245088,-0.468333,0.164647,0.000798,0.007897,0.164940,0.250000,0.250000,
35911891,0.155727,24.454767,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.090000,0.900000,-0.265925,-0.478986,0.109398,0.003748,0.009232,0.124281,0.250000,0.250000,
35921138,-0.215580,24.464042,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.150000,0.950000,-0.320113,-0.459988,0.165993,-0.000728,0.010476,0.154816,0.250000,0.250000,
35930725,-0.022480,24.473318,1,0.708679,0.322327,-0.608154,-0.155090,7.870000,6.150000,0.910000,-0.268903,-0.485972,0.209612,-0.001118,0.012446,0.194930,0.250000,0.250000,
35941756,-0.393269,24.482594,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.130000,0.910000,-0.273946,-0.476379,0.166223,-0.010882,0.013443,0.173915,0.250000,0.250000,
35951067,0.358593,24.482594,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.930000,-0.293984,-0.484388,0.139123,-0.000652,0.015723,0.148445,0.250000,0.250000,
35960912,-0.296711,24.487232,1,0.708679,0.322327,-0.608154,-0.155090,7.870000,6.130000,0.900000,-0.255839,-0.498172,0.196177,-0.009159,0.016713,0.183388,0.250000,0.250000,
35971904,-0.200687,24.491870,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.070000,0.900000,-0.258237,-0.506106,0.111728,-0.014937,0.017254,0.130929,0.250000,0.250000,
35981289,0.175762,24.491870,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.180000,0.930000,-0.306041,-0.432301,0.184307,-0.008490,0.019833,0.170005,0.250000,0.250000,
35990991,-0.286442,24.505784,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.160000,0.900000,-0.269494,-0.451374,0.185062,-0.017890,0.020264,0.181028,0.250000,0.250000,
36002075,0.464397,24.505784,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.090000,0.910000,-0.275545,-0.481669,0.109923,-0.000255,0.024166,0.128976,0.250000,0.250000,
36011552,0.180386,24.501146,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.880000,-0.249331,-0.456095,0.149408,0.006763,0.026718,0.143933,0.250000,0.250000,
36021299,-0.190418,24.510422,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.910000,-0.278190,-0.464142,0.150983,-0.000636,0.026835,0.149094,0.250000,0.250000,
36031985,-0.281818,24.515060,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.090000,0.910000,-0.279788,-0.469431,0.094683,-0.011635,0.025745,0.109263,0.250000,0.250000,
36041454,-0.185795,24.519698,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.900000,-0.268570,-0.461460,0.150458,-0.018580,0.025736,0.139419,0.250000,0.250000,
36050977,0.281551,24.515060,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.950000,-0.313223,-0.489752,0.140173,-0.005601,0.029756,0.139971,0.250000,0.250000,
36061138,0.185513,24.510422,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.090000,0.930000,-0.299027,-0.474796,0.095734,0.003001,0.032574,0.107587,0.250000,0.250000,
36070917,0.474667,24.524336,1,0.708679,0.322327,-0.608154,-0.155090,7.750000,6.130000,0.900000,-0.281302,-0.424748,0.104738,0.024245,0.038492,0.105502,0.250000,0.250000,
