Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment
25767439,-0.435722,25.771818,1,-0.603577,0.095276,0.789856,-0.052246,8.77,-1.41,-3.54,1.072633,0.374673,-0.305669,0,0,0,0.25,0.25
25779390,0.074333,25.832099,1,-0.601868,0.084106,0.792358,-0.053772,10.09,-2.05,-3.12,0.187323,-0.158305,0.953073,0.000251,0.007593,0.635382,0.25,0.25
25788297,-0.09568,25.859921,1,-0.599915,0.074219,0.794678,-0.055176,9.82,-2.1,-2.66,-0.186397,-0.262355,0.579822,-0.000189,0.012766,0.594975,0.25,0.25
25797816,0.287514,25.869195,1,-0.598755,0.06665,0.796143,-0.056885,9.33,-1.43,-2.31,-0.391716,0.242464,-0.094774,0.002279,0.012071,0.090281,0.25,0.25
25808566,0.391274,25.883106,1,-0.5979,0.058533,0.797363,-0.057861,9.59,-0.26,-2.52,-0.255796,1.357688,0.019197,0.006646,0.01243,0.038246,0.25,0.25
25818053,-0.350959,25.901654,1,-0.59668,0.048584,0.79895,-0.057434,8.92,-0.72,-2.33,-0.291259,0.663347,-0.579695,0.001887,0.006589,-0.414117,0.25,0.25
25827744,-0.435203,25.915565,1,-0.595276,0.038757,0.800598,-0.056396,9,-1.49,-2.75,0.048995,-0.199028,-0.2742,-0.005065,0.003583,-0.311691,0.25,0.25
25838746,0.421578,25.929475,1,-0.593872,0.030273,0.802063,-0.055786,9.27,-0.11,-2.52,-0.297666,1.081553,-0.254255,0.002848,0.001236,-0.269645,0.25,0.25
25848028,-0.514305,25.938749,1,-0.592346,0.022095,0.803467,-0.055115,9,-0.47,-2.41,-0.356667,0.586093,-0.500346,-0.007955,-0.004268,-0.43853,0.25,0.25
25857800,-0.599571,25.95266,1,-0.590698,0.015137,0.804932,-0.054749,8.73,-0.34,-2.22,-0.503544,0.587017,-0.815723,-0.021725,-0.013331,-0.714654,0.25,0.25
25868506,-0.307304,25.966571,1,-0.5896,0.008728,0.805847,-0.054016,9.13,-0.61,-2.03,-0.821167,0.255656,-0.46352,-0.029108,-0.019015,-0.530812,0.25,0.25
25878011,0.160637,25.961934,1,-0.588745,0.003479,0.806519,-0.053833,9.54,-0.45,-1.91,-1.087083,0.367951,-0.125187,-0.024088,-0.019569,-0.233873,0.25,0.25
25887689,-0.203544,25.980481,1,-0.588318,-0.000183,0.806885,-0.053467,9.56,-0.03,-2.2,-0.849694,0.755284,-0.061973,-0.029535,-0.020756,-0.108034,0.25,0.25
25898588,0.179634,25.989755,1,-0.588562,-0.00238,0.806702,-0.053101,9.63,0.38,-2.41,-0.689889,1.154272,0.042498,-0.023233,-0.019543,0.002163,0.25,0.25
25908095,0.185799,25.999029,1,-0.589355,-0.003784,0.806152,-0.052917,9.36,-0.4,-2.5,-0.447343,0.35145,-0.122421,-0.016547,-0.019812,-0.089038,0.25,0.25
25917950,0.095391,26.003666,1,-0.590393,-0.004822,0.805359,-0.05304,9.04,-0.72,-2.22,-0.572209,-0.019127,-0.485814,-0.012911,-0.024032,-0.379498,0.25,0.25
25928744,0.191964,26.008303,1,-0.591431,-0.005371,0.804504,-0.053955,9.27,-0.63,-1.7,-1.115077,0.03587,-0.416726,-0.005797,-0.027369,-0.406751,0.25,0.25
25938311,-0.275978,26.01294,1,-0.592529,-0.005249,0.803589,-0.055359,9.56,-0.26,-0.97,-1.895434,0.380215,-0.384022,-0.016224,-0.032748,-0.390112,0.25,0.25
25948176,-0.361244,26.02685,1,-0.593933,-0.004395,0.80249,-0.056885,10.36,-0.09,-0.63,-2.439891,0.594864,0.267966,-0.029935,-0.032511,0.091635,0.25,0.25
25959173,-0.361244,26.02685,1,-0.595459,-0.003113,0.80127,-0.058472,11.01,-0.72,-0.67,-2.504622,0.060034,0.961288,-0.043515,-0.02473,0.728265,0.25,0.25
25968751,-0.269813,26.022213,1,-0.596985,-0.001892,0.799988,-0.060303,11.17,-0.8,-0.67,-2.505608,0.03957,1.138414,-0.053041,-0.015609,1.028515,0.25,0.25
25979534,0.120049,26.040761,1,-0.598328,-0.000793,0.798828,-0.062683,10.59,-0.88,-0.88,-2.093077,-0.004736,0.654636,-0.045838,-0.006888,0.754817,0.25,0.25
25988816,-0.445991,26.040761,1,-0.599365,0.000366,0.797791,-0.065979,10.3,-1.16,-0.78,-2.059291,-0.25291,0.387234,-0.06329,-0.007371,0.485727,0.25,0.25
25998444,-0.72541,26.045398,1,-0.599792,0.001221,0.797119,-0.069702,9.86,-1.59,-0.82,-1.847615,-0.643986,0.028062,-0.092766,-0.014067,0.150693,0.25,0.25
26009342,-0.718727,26.054671,1,-0.599487,0.002136,0.796936,-0.073975,9,-1.62,-0.76,-1.66776,-0.686338,-0.801585,-0.121334,-0.029499,-0.546423,0.25,0.25
26018689,-0.53022,26.054671,1,-0.598633,0.003235,0.797119,-0.079102,8.77,-2.28,-0.9,-1.416267,-1.269169,-0.895887,-0.140505,-0.042925,-0.802249,0.25,0.25
26028468,-0.34275,26.054671,1,-0.597473,0.004211,0.797363,-0.084839,8.66,-2.77,-1.2,-1.068013,-1.642403,-0.837997,-0.150435,-0.053696,-0.828418,0.25,0.25
26039601,-0.056129,26.059308,1,-0.596375,0.004822,0.797424,-0.09137,9.29,-2.95,-0.99,-1.435187,-1.68147,-0.250277,-0.146547,-0.055426,-0.405189,0.25,0.25
26049076,-0.146537,26.063945,1,-0.595581,0.005066,0.797241,-0.098267,9.36,-2.98,-0.88,-1.548587,-1.622227,-0.196994,-0.147072,-0.05722,-0.25278,0.25,0.25
26058714,0.223809,26.054671,1,-0.595337,0.004761,0.796631,-0.104614,11.74,-3.81,-1.05,-1.975021,-2.005747,2.25866,-0.129342,-0.029733,1.585722,0.25,0.25
26069485,-1.083915,26.073219,1,-0.595581,0.003662,0.795593,-0.110596,6.91,-2.26,-1.59,-0.206772,-0.987115,-2.422537,-0.177035,-0.069752,-1.348527,0.25,0.25
26078890,-0.518409,26.073219,1,-0.59613,0.001587,0.794434,-0.116089,8.81,-3.23,-1.64,-0.553687,-1.608004,-0.426152,-0.194698,-0.079199,-0.673302,0.25,0.25
26088552,-0.426475,26.068582,1,-0.59613,-0.001953,0.793823,-0.120361,8.87,-2.66,-1.51,-0.746458,-1.045246,-0.506068,-0.207148,-0.088118,-0.550878,0.25,0.25
26099155,-0.420829,26.077855,1,-0.596252,-0.006042,0.793091,-0.124207,8.56,-1.82,-0.99,-1.252509,-0.375479,-1.087035,-0.219014,-0.103381,-0.943372,0.25,0.25
26108819,-0.50608,26.091766,1,-0.596802,-0.010254,0.792114,-0.127625,8.46,-1.72,-1.07,-1.133284,-0.284172,-1.178299,-0.234781,-0.120268,-1.11535,0.25,0.25
26118821,-0.134208,26.082492,1,-0.597473,-0.015686,0.791077,-0.130249,9.12,-1.89,-1.66,-0.697299,-0.264894,-0.373341,-0.230786,-0.122048,-0.572162,0.25,0.25
26129632,0.060463,26.091766,1,-0.598755,-0.022278,0.78949,-0.133057,10.3,-1.89,-1.49,-1.130634,-0.19488,0.720415,-0.216874,-0.108579,0.37407,0.25,0.25
26139092,0.437508,26.091766,1,-0.600769,-0.029175,0.78717,-0.136414,10.38,-2.12,-1.05,-1.437836,-0.551734,0.731403,-0.183595,-0.087514,0.635656,0.25,0.25
26148731,-0.024803,26.105676,1,-0.603577,-0.035706,0.78418,-0.139587,10.59,-1.49,-0.74,-1.810023,-0.044318,0.761428,-0.176036,-0.076656,0.727728,0.25,0.25
26159806,0.164223,26.105676,1,-0.606262,-0.041809,0.781372,-0.141968,10.97,-1.28,-0.55,-2.046682,0.090882,1.068795,-0.158778,-0.057175,0.977406,0.25,0.25
26169360,0.164223,26.105676,1,-0.608826,-0.047424,0.778748,-0.143738,10.78,-1.3,-0.7,-1.759328,0.03919,0.9345,-0.142067,-0.040559,0.945997,0.25,0.25
26179201,0.072792,26.110313,1,-0.611389,-0.052795,0.776123,-0.145081,10.94,-1.47,-1.01,-1.374106,-0.066793,1.199986,-0.13089,-0.02348,1.13193,0.25,0.25
26190137,-0.58416,26.11495,1,-0.613647,-0.058105,0.773621,-0.146729,10.76,-2.03,-1.49,-0.63816,-0.517438,1.224349,-0.155479,-0.02157,1.199585,0.25,0.25
26199451,-0.298057,26.119587,1,-0.615356,-0.063538,0.771484,-0.14856,10.63,-1.78,-1.53,-0.564632,-0.313708,1.067867,-0.163353,-0.015412,1.103161,0.25,0.25
26209313,-0.207145,26.11495,1,-0.616577,-0.069214,0.769653,-0.150391,10.38,-0.28,-1.01,-1.362039,0.873621,0.502823,-0.165879,-0.011598,0.663683,0.25,0.25
26220416,-0.388466,26.124224,1,-0.61731,-0.074768,0.76825,-0.1521,10.11,-1.09,-1.51,-0.554787,0.198989,0.463054,-0.178135,-0.012528,0.516812,0.25,0.25
26229942,0.547432,26.11495,1,-0.617615,-0.079895,0.767334,-0.152832,10.05,-1.47,-1.66,-0.257733,-0.163911,0.486519,-0.138458,0.012852,0.494636,0.25,0.25
26239448,-0.012474,26.124224,1,-0.617126,-0.08429,0.76709,-0.153748,9.98,-1.72,-1.66,-0.157036,-0.447741,0.454284,-0.131387,0.020851,0.465097,0.25,0.25
