,,,,,,,,,,,,
time stamp,raw pressure,raw temperature,raw ax,raw ay,raw aZ,calcualted alt,y estimate,v estimate,a estimate,apogee estimate,servo deployment,flight mode
83685,98.58,26.97,0.01,0.03,1.00,0.04,0.04,0.00,0.00,apogee estimate,0.00,0
83777,98.58,26.94,0.01,0.03,1.00,-0.15,-0.15,-0.00,-0.00,apogee estimate,0.00,0
83869,98.58,26.94,0.01,0.02,1.00,-0.02,-0.02,0.02,0.00,apogee estimate,0.00,0
83961,98.58,26.93,0.01,0.03,1.00,0.07,0.05,0.20,0.00,apogee estimate,0.00,0
84053,98.58,26.92,0.01,0.03,1.00,0.04,0.06,0.16,0.00,apogee estimate,0.00,0
84161,98.58,26.92,0.02,0.03,1.00,0.22,0.22,0.59,0.01,apogee estimate,0.00,0
84252,98.58,26.92,0.02,0.03,1.00,-0.11,-0.00,-0.20,-0.00,apogee estimate,0.00,0
84345,98.58,26.91,0.01,0.03,1.00,0.13,0.08,0.07,0.00,apogee estimate,0.00,0
84436,98.58,26.92,0.01,0.02,1.00,-0.02,0.01,-0.13,-0.00,apogee estimate,0.00,0
84529,98.58,26.91,0.02,0.03,1.00,-0.01,-0.01,-0.17,-0.00,apogee estimate,0.00,0
84620,98.58,26.91,0.02,0.03,1.00,0.04,0.01,-0.06,-0.00,apogee estimate,0.00,0
84713,98.59,26.92,0.01,0.02,1.00,-0.30,-0.22,-0.68,-0.02,apogee estimate,0.00,0
84820,98.58,26.91,0.01,0.03,1.00,0.22,0.04,0.20,0.01,apogee estimate,0.00,0
84912,98.58,26.92,0.02,0.03,1.00,0.07,0.08,0.26,0.01,apogee estimate,0.00,0
85004,98.58,26.92,0.02,0.03,1.00,-0.09,-0.01,-0.06,-0.00,apogee estimate,0.00,0
85096,98.58,26.92,0.01,0.03,1.00,0.13,0.09,0.24,0.01,apogee estimate,0.00,0
85188,98.58,26.92,0.02,0.03,1.00,-0.03,0.03,0.02,0.00,apogee estimate,0.00,0
85280,98.58,26.92,0.02,0.03,1.00,0.34,0.25,0.64,0.03,apogee estimate,0.00,0
85387,98.58,26.92,0.02,0.03,1.00,-0.02,0.12,0.10,0.00,apogee estimate,0.00,0
85478,98.58,26.93,0.02,0.03,1.00,-0.10,-0.04,-0.36,-0.02,apogee estimate,0.00,0
85571,98.58,26.93,0.01,0.03,1.00,0.16,0.07,0.02,0.00,apogee estimate,0.00,0
85662,98.58,26.93,0.01,0.03,1.00,-0.04,-0.01,-0.20,-0.01,apogee estimate,0.00,0
85755,98.58,26.93,0.02,0.03,1.00,0.42,0.28,0.65,0.04,apogee estimate,0.00,0
85846,98.58,26.94,0.02,0.03,1.00,0.09,0.20,0.28,0.02,apogee estimate,0.00,0
85939,98.58,26.93,0.01,0.03,1.00,0.38,0.35,0.63,0.04,apogee estimate,0.00,0
86045,98.58,26.94,0.01,0.02,1.00,-0.15,0.04,-0.39,-0.03,apogee estimate,0.00,0
86137,98.58,26.95,0.01,0.03,1.00,0.09,0.04,-0.29,-0.02,apogee estimate,0.00,0
86229,98.59,26.95,0.02,0.03,1.00,-0.24,-0.18,-0.85,-0.07,apogee estimate,0.00,0
86321,98.58,26.95,0.02,0.03,1.00,0.27,0.06,0.04,0.01,apogee estimate,0.00,0
86412,98.58,26.95,0.01,0.03,1.00,0.07,0.07,0.06,0.01,apogee estimate,0.00,0
