Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment
257609040,0.237084,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.05,0.05,-0.24,0.06669,0.032114,-0.239,0.145841,-0.095389,-0.238893,0
257617220,0.514397,17.043776,1,0.993713,-0.010193,-0.015686,-0.110474,0.06,0.04,-0.23,0.073953,0.020405,-0.228505,0.359146,0.223935,-0.22862,0
257626470,0.421609,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.04,0.02,-0.24,0.050343,0.005045,-0.238831,0.397342,0.267817,-0.238718,0
257639053,0.329858,17.043776,1,0.993713,-0.010193,-0.015686,-0.110474,0.04,0.05,-0.24,0.056939,0.034306,-0.239335,0.361504,0.21558,-0.239328,0
257647229,0.237084,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.01,0.02,-0.24,0.02109,0.011622,-0.239834,0.290985,0.105192,-0.239828,0
257656461,-0.132484,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.05,0.03,-0.23,0.062004,0.012843,-0.228671,0.046978,-0.209536,-0.228794,0
257669019,0.421609,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.05,0.07,-0.25,0.071377,0.051384,-0.249329,0.261868,0.060572,-0.249103,0
257677375,0.052041,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.05,0.05,-0.26,0.067269,0.031639,-0.258986,0.140451,-0.124374,-0.258877,0
257686517,0.329858,17.043776,1,0.993713,-0.010193,-0.015686,-0.110474,0.03,0.05,-0.22,0.04661,0.036973,-0.219683,0.248896,0.014996,-0.220115,0
257699102,0.237084,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.03,0.06,-0.24,0.049387,0.046252,-0.239837,0.242207,0.003364,-0.239619,0
257707281,0.052041,17.048419,1,0.993713,-0.010193,-0.015686,-0.110474,0.02,0.03,-0.24,0.03304,0.019183,-0.239667,0.131758,-0.164585,-0.239667,0
257716507,0.145333,17.043776,1,0.993713,-0.010193,-0.015686,-0.110474,0.04,0.03,-0.24,0.052542,0.014798,-0.238999,0.138083,-0.156747,-0.239006,0
257729064,-0.03971,17.043776,1,0.993713,-0.010193,-0.015686,-0.110535,0.03,0.03,-0.25,0.043083,0.016749,-0.249326,0.03285,-0.289796,-0.249212,0
257737422,0.238107,17.039133,1,0.993713,-0.010193,-0.015686,-0.110535,0.05,0.04,-0.24,0.064495,0.022352,-0.238832,0.149684,-0.112621,-0.238947,0
257746546,0.237084,17.048419,1,0.993713,-0.010193,-0.015686,-0.110535,0.05,0.05,-0.24,0.066695,0.032106,-0.239,0.199217,-0.049416,-0.239,0
257759181,-0.501517,17.048419,1,0.993713,-0.010193,-0.015686,-0.110535,0.05,0.03,-0.24,0.062295,0.012599,-0.238664,-0.208371,-0.564046,-0.238668,0
257767366,-0.315986,17.039133,1,0.993713,-0.010193,-0.015686,-0.110535,0.02,0.03,-0.2,0.031886,0.020128,-0.199695,-0.275517,-0.660008,-0.200125,0
257776539,0.883462,17.043776,1,0.993713,-0.010193,-0.015686,-0.110535,0.04,0.02,-0.03,0.044271,0.010021,-0.028978,0.388909,0.200111,-0.030864,0
257789105,1.253075,17.043776,1,0.993713,-0.010193,-0.015686,-0.110657,0.2,-0.32,12.93,-0.249397,-0.0492,12.933008,0.894264,0.993207,12.79015,0
257797461,1.253075,17.043776,2,0.993652,-0.010132,-0.015381,-0.110901,-2,0.02,30.12,-2.798418,1.16889,30.033603,1.112125,1.558615,29.843585,0
257806585,1.804681,17.053062,2,0.993591,-0.010071,-0.014709,-0.111633,4.47,-0.22,30.07,3.49644,-0.504223,30.195279,1.528337,2.353018,30.191403,0
257819134,1.344323,17.048419,2,0.993469,-0.00946,-0.014832,-0.112732,-1.16,-0.56,29.69,-2.067215,0.371214,29.643619,1.453342,2.590459,29.649655,0
257827490,1.623711,17.03449,2,0.993225,-0.008484,-0.015137,-0.114624,-0.23,-0.85,30.12,-1.264687,-0.163106,30.105874,1.575035,2.991007,30.100847,0
257836603,1.897988,17.048419,2,0.993225,-0.008118,-0.015015,-0.114807,-0.4,1.67,30.1,-0.849664,2.306028,30.048614,1.790409,3.506936,30.049189,0
257849166,2.175332,17.043776,2,0.993164,-0.007751,-0.014832,-0.115723,-0.12,-1.59,30.12,-1.315889,-0.952518,30.118402,2.060371,4.166823,30.117639,0
257857344,1.992318,17.03449,2,0.993164,-0.007751,-0.014465,-0.115356,-0.61,-0.98,30.12,-1.629852,-0.249887,30.096976,2.05592,4.353381,30.097204,0
257866574,1.990777,17.043776,2,0.993347,-0.007751,-0.014099,-0.114197,-2.27,2.64,30.12,-2.400724,3.646167,30.004648,2.059692,4.581953,30.005668,0
257879151,1.621667,17.043776,2,0.99353,-0.00769,-0.013733,-0.112671,-0.47,-0.63,30.12,-1.368791,0.04468,30.099114,1.865303,4.639024,30.098084,0
257887508,2.175332,17.043776,2,0.993713,-0.007812,-0.013489,-0.110657,-1.19,0.62,30.12,-1.779319,1.423779,30.063628,2.08529,5.16234,30.064008,0
257896655,1.990777,17.043776,2,0.993958,-0.007996,-0.013367,-0.108521,0.44,-0.99,30.12,-0.53238,-0.495256,30.130705,2.079076,5.366907,30.12997,0
257906281,1.437112,17.043776,2,0.994202,-0.00824,-0.013306,-0.106323,0.14,0.37,30.12,-0.529022,0.910723,30.104179,1.760678,5.185302,30.104463,0
257919098,1.621667,17.043776,2,0.994507,-0.008606,-0.013428,-0.103333,-0.37,-1.49,30.12,-1.419422,-0.78284,30.115507,1.748797,5.467171,30.115385,0
257927455,2.082543,17.048419,2,0.994934,-0.009094,-0.013672,-0.098938,-2.23,2.14,30.12,-2.528887,3.16277,30.00614,1.989633,6.016757,30.007344,0
257936598,1.712914,17.048419,2,0.995422,-0.009399,-0.013977,-0.094299,0.07,-0.44,30.12,-0.79872,0.197807,30.112055,1.885718,6.081884,30.110901,0
257949184,2.175332,17.043776,2,0.995667,-0.009705,-0.01416,-0.091431,6.87,-1.05,30.11,5.765327,-1.621329,30.315735,2.132899,6.677136,30.313478,0
257957343,2.17431,17.053062,2,0.99585,-0.009827,-0.014404,-0.088989,-1.72,0.89,30.11,-2.345215,1.846595,30.0242,2.212437,6.958549,30.027388,0
257966569,2.360421,17.043776,2,0.995972,-0.009399,-0.014038,-0.088135,8.34,-4.74,30.11,6.581663,-5.48923,30.416861,2.363552,7.349366,30.412569,0
