Time (us),Altitude AGL (m),Temperature (deg C),state,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,accel_x,accel_y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment,filtered_altitude,filtered_velocity,filtered_accel,saturated,thrust_accel,predicted_apogee_no_airbrake,integrated_vx,integrated_vy,integrated_x,integrated_y,Servo deployment_rate_limited
0,-0.141266,16.514433,1,0.996399,0.022888,-0.046204,-0.067261,0.04,0.04,0,0.044744,0.03415,0.005633,-0.046765,-0.27598,0.005713,0,-0.141265556,0.000280608,0.005618953,FALSE,-9.81,-0.141265553,0,0,0,0,0
0.012621,-0.141266,16.514433,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.04,0,-0.014457,0.042319,0.000293,-0.105152,-0.346059,0.000353,0,-0.141264788,0.000186249,0.002936932,FALSE,-9.81,-0.141264786,0.000191126,0.000482558,1.21E-06,3.05E-06,0
0.020815,0.413986,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0,0.05,0.03,0.003741,0.048313,0.032432,0.193718,0.114315,0.032078,0,0.040737824,0.090760154,0.013037705,FALSE,-9.81,0.04108105,0.000147223,0.000853877,2.59E-06,8.52E-06,0
0.029944,0.045349,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,-0.01,0.05,0.01,-0.004222,0.050463,0.011648,0.108913,0.003089,0.011873,0,0.042509164,0.091692981,0.012670468,FALSE,-9.810013169,0.042859481,0.000145027,0.00130474,3.93E-06,1.84E-05,0
0.042486,-0.230988,16.500502,1,0.996399,0.022888,-0.046204,-0.067261,0.01,0.05,0,0.016463,0.048134,0.003481,-0.08845,-0.24687,0.003574,0,-0.012512873,0.00306653,0.010650511,FALSE,-9.810013441,-0.012512481,0.00022179,0.001923042,6.23E-06,3.86E-05,0
0.050849,-0.232514,16.50979,1,0.996399,0.022888,-0.046204,-0.067261,0,0.03,0.01,0.003006,0.029303,0.011502,-0.174239,-0.373612,0.011414,0,-0.050812602,-0.077489785,0.010810777,FALSE,-9.810000015,-0.050812602,0.0003032,0.002246845,8.42E-06,5.61E-05,0
0.060001,0.136108,16.50979,1,0.996399,0.022888,-0.046204,-0.067261,0.01,0.06,0.02,0.015879,0.057245,0.023893,0.001957,-0.138916,0.023756,0,-0.022613366,0.001799182,0.013066293,FALSE,-9.809990401,-0.022613231,0.000389618,0.002642888,1.16E-05,7.84E-05,0
0.072514,0.413986,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0.03,0.03,0,0.033558,0.025613,0.004225,0.239537,0.165537,0.00444,0,0.03981674,0.225517438,0.011665974,FALSE,-9.810000005,0.041935828,0.00069892,0.003161289,1.84E-05,0.000114741,0
0.080711,-0.141266,16.514433,1,0.996399,0.022888,-0.046204,-0.067261,-0.01,0.06,-0.01,-0.001,0.06115,-0.007727,0.019639,-0.16985,-0.007593,0,0.017483166,0.126058631,0.008761824,FALSE,-9.810081304,0.018145282,0.000832359,0.003516887,2.47E-05,0.000142111,0
0.089947,-0.232514,16.50979,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.03,0.02,-0.017679,0.031632,0.019669,-0.127836,-0.358356,0.019368,0,-0.012835502,-0.020342592,0.010315562,FALSE,-9.810025404,-0.012835502,0.0007461,0.003945355,3.20E-05,0.000176572,0
0.102552,0.322723,16.500502,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.05,0.01,-0.014089,0.051824,0.010758,0.129385,-0.024976,0.010853,0,0.028707015,0.199916901,0.01038129,FALSE,-9.809999338,0.030372297,0.000545882,0.004471336,4.01E-05,0.000229618,0
0.110738,0.229919,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.03,0.01,-0.016728,0.032026,0.009722,0.187603,0.064088,0.009734,0,0.054243285,0.333264253,0.010295746,FALSE,-9.810063893,0.058870996,0.000419748,0.004814534,4.41E-05,0.000267625,0
0.119861,-0.139207,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0.01,0.06,0,0.017782,0.058033,0.004,-0.000902,-0.180907,0.004063,0,0.034224827,0.198354174,0.009468236,FALSE,-9.810177554,0.035864177,0.000424556,0.005225338,4.79E-05,0.000313422,0
0.132447,-0.046418,16.500502,1,0.996399,0.022888,-0.046204,-0.067261,0,0.1,0.01,0.012241,0.098596,0.01513,-0.029612,-0.214184,0.015008,0,0.026741047,0.137646785,0.010196662,FALSE,-9.810062898,0.02753049,0.000613491,0.006211005,5.44E-05,0.000385391,0
0.14063,0.045349,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,-0.01,0.07,0.06,-0.006341,0.068291,0.062419,0.012193,-0.147509,0.061896,0,0.0299356,0.150885595,0.016840554,FALSE,-9.810030289,0.030884203,0.00063763,0.006893823,5.96E-05,0.000439009,0
0.149873,0.229919,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0.01,-0.02,0.24,-0.015608,-0.030615,0.238577,0.136828,0.01771,0.23663,0,0.05449026,0.29707989,0.044774078,FALSE,-9.810036396,0.058167612,0.000536193,0.007067942,6.50E-05,0.000503534,0
0.170048,1.242553,16.50979,2,0.99646,0.02301,-0.045959,-0.066711,-0.1,0.67,30.23,-2.87271,-0.52407,30.096261,0.791859,1.439861,29.767216,0,0.210140171,1.153832552,-1.187130417,FALSE,-9.810141091,0.265612236,-0.028599715,0.001472558,-0.0002181,0.000589686,0
0.17953,1.338439,16.495859,2,0.996521,0.02356,-0.045654,-0.065796,5.23,-0.98,28.25,2.378437,-2.824275,28.50864,1.130396,2.370702,28.522509,0,0.360100108,1.931270971,-2.258952284,FALSE,-9.812128288,0.515508757,-0.030943063,-0.014401946,-0.000500393,0.000528388,0
0.189246,-0.048463,16.50979,2,0.996582,0.024048,-0.044983,-0.06543,0.99,0.06,30.23,-1.820289,-1.34285,30.161573,0.466406,1.563181,30.143511,0,0.359523132,2.38693516,9.243652599,FALSE,90.723591,0.596917276,-0.02823158,-0.034645839,-0.000787863,0.000290113,0
0.199118,0.782638,16.505146,2,0.996521,0.024353,-0.044189,-0.066101,-0.7,0.52,30.2,-3.380749,-0.680814,30.015116,0.667119,2.121383,30.01653,0,0.460850811,3.425017659,19.02590472,FALSE,88.59735035,0.949631892,-0.053903904,-0.044634645,-0.001193284,-0.000101215,0
0.212065,1.151809,16.505146,2,0.996521,0.024658,-0.043213,-0.066711,-1.52,0.75,30.23,-4.105691,-0.363606,29.995612,0.979545,2.892953,29.995842,0,0.612691539,4.711224868,27.5387358,FALSE,88.26913042,1.537509862,-0.102367373,-0.051395698,-0.002204906,-0.000722867,0
0.220479,1.982482,16.500502,2,0.996399,0.024963,-0.04248,-0.068726,-0.87,-1.07,30.23,-3.665762,-2.2649,29.953076,1.588745,4.054151,29.953547,0,0.834678825,6.323214138,34.96195256,FALSE,88.04513342,2.500638701,-0.135061876,-0.062453822,-0.003203771,-0.001201832,0
0.229742,1.982482,16.500502,2,0.996338,0.025146,-0.041931,-0.070068,-1.33,0.83,30.23,-3.830529,-0.32785,30.025492,1.855587,4.631087,30.024699,0,1.040400389,7.758124614,41.43251696,FALSE,87.78829109,3.548254453,-0.169780948,-0.074462144,-0.00461565,-0.001835959,0
0.242343,1.891204,16.495859,2,0.996338,0.025452,-0.041199,-0.070435,-1.75,1,30.22,-4.177721,-0.119209,29.997388,1.937016,5.03524,29.997689,0,1.246120378,9.116865515,47.06146696,FALSE,87.44493729,4.709338578,-0.220236927,-0.077278839,-0.007072958,-0.002792003,0
0.250523,1.242553,16.50979,2,0.996338,0.025879,-0.040222,-0.071228,-4.19,1.67,30.22,-6.433908,0.86901,29.857048,1.5758,4.676548,29.858598,0,1.3256212,9.761691129,51.967869,FALSE,87.20609633,5.296063438,-0.263638489,-0.074212153,-0.009052008,-0.003411601,0
0.259689,1.336395,16.505146,2,0.995972,0.026062,-0.039795,-0.076233,2.73,-1.86,30.22,-0.10456,-3.641559,30.180944,1.481469,4.77768,30.177392,0,1.418771406,10.45508892,56.24137765,FALSE,86.95993843,5.973308255,-0.293604288,-0.086918745,-0.011605852,-0.004150064,0
0.272315,1.982482,16.500502,2,0.995667,0.025818,-0.040161,-0.079468,-3.79,1.36,30.22,-6.058334,0.58785,29.873279,1.835028,5.515589,29.87663,0,1.613008259,11.63519174,59.94995077,FALSE,86.62493013,7.253745214,-0.332510638,-0.10619681,-0.015558516,-0.005369202,0
0.280475,1.336395,16.505146,2,0.995605,0.025574,-0.040405,-0.080444,0.24,0.61,30.22,-2.223143,-0.780064,30.135148,1.591454,5.330475,30.132299,0,1.677296397,12.12908038,63.17464916,FALSE,86.38089635,7.807071013,-0.366299064,-0.106981043,-0.018409659,-0.006238968,0
