,,,,,,,,,,,,,,Time,Altitude,Velocity,Deployment
201382,98.58,27.98,0.01,0.03,1,0.1,0.01,0.14,0.03,apogee estimate,0,0,,0,0.1,0.14,0
201472,98.59,27.97,0.01,0.03,1,-0.26,-0.17,-0.42,-0.07,apogee estimate,0,0,,0.09,-0.26,-0.42,0
201561,98.58,27.98,0.01,0.03,1,-0.13,-0.18,-0.33,-0.06,apogee estimate,0,0,,0.179,-0.13,-0.33,0
201651,98.58,27.98,0.01,0.03,1,-0.18,-0.21,-0.35,-0.06,apogee estimate,0,0,,0.269,-0.18,-0.35,0
201754,98.58,27.98,0.01,0.03,1,0.2,0.06,0.51,0.1,apogee estimate,0,0,,0.372,0.2,0.51,0
201845,98.58,27.98,0.01,0.03,1,-0.16,-0.06,0.05,0.01,apogee estimate,0,0,,0.463,-0.16,0.05,0
201933,98.58,27.98,0.01,0.03,1,0.41,0.28,1.03,0.19,apogee estimate,0,0,,0.551,0.41,1.03,0
202023,98.58,27.98,0.01,0.03,1,0.04,0.21,0.55,0.1,apogee estimate,0,0,,0.641,0.04,0.55,0
202111,98.58,27.98,0.01,0.03,1,0.05,0.14,0.23,0.04,apogee estimate,0,0,,0.729,0.05,0.23,0
202202,98.58,27.98,0.01,0.03,1,0.34,0.31,0.65,0.12,apogee estimate,0,0,,0.82,0.34,0.65,0
202306,98.58,27.98,0.01,0.03,1,0.02,0.16,0.05,0.01,apogee estimate,0,0,,0.924,0.02,0.05,0
202395,98.58,27.98,0.01,0.03,1,0.12,0.13,-0.04,-0.01,apogee estimate,0,0,,1.013,0.12,-0.04,0
202485,98.58,27.98,0.01,0.03,1,0.18,0.16,0.05,0.01,apogee estimate,0,0,,1.103,0.18,0.05,0
202574,98.57,27.98,-0.18,0.09,3.95,0.95,0.73,1.68,0.31,apogee estimate,0,1,,1.192,0.95,1.68,0
202664,98.56,27.98,0.05,-0.08,4,1.55,1.46,3.42,0.63,apogee estimate,0,1,,1.282,1.55,3.42,0
202753,98.55,27.99,-0.06,-0.08,4,3.07,2.92,6.88,1.26,apogee estimate,0,1,,1.371,3.07,6.88,0
202843,98.52,28,-0.15,-0.04,4,5.6,5.46,12.65,2.3,apogee estimate,0,1,,1.461,5.6,12.65,0
202946,98.47,28.01,-0.16,0.1,4,9.72,9.95,21.91,3.95,apogee estimate,0,1,,1.564,9.72,21.91,0
203037,98.4,28.01,-0.22,0.35,4,15.25,15.93,33.72,6.06,apogee estimate,0,1,,1.655,15.25,33.72,0
203125,98.33,28.02,-0.34,0.56,4,21.34,22.81,45.48,8.16,apogee estimate,0,1,,1.743,21.34,45.48,0
203215,98.28,28.02,-0.47,0.54,4,25.97,29.18,52.73,9.38,apogee estimate,0,1,,1.833,25.97,52.73,0
203303,98.25,28.03,-0.34,0.27,4,28.54,33.41,52.24,9.14,apogee estimate,0,1,,1.921,28.54,52.24,0
203394,98.2,28.03,0.02,-0.07,4,33.04,37.94,52.3,8.99,apogee estimate,0,1,,2.012,33.04,52.3,0
203498,98.12,28.03,0.12,-0.07,3.96,39.65,44.71,56.88,9.66,apogee estimate,0,1,,2.116,39.65,56.88,0
203587,98.05,28.03,0.02,0.31,0.84,45.39,50.32,59.22,9.94,apogee estimate,0,1,,2.205,45.39,59.22,0
203677,97.98,28.02,-0.01,0.3,0.01,51.38,56.45,62.31,10.35,apogee estimate,0,1,,2.295,51.38,62.31,0
203766,97.92,28.02,-0.17,-0.04,-0.29,56.26,61.9,62.83,10.27,apogee estimate,0,1,,2.384,56.26,62.83,0
203856,97.86,28.02,-0.22,0,-0.39,61.64,67.41,63.2,10.17,apogee estimate,0,1,,2.474,61.64,63.2,0
203945,97.81,28.01,-0.05,-0.05,-0.39,66.13,72.16,61.41,9.67,apogee estimate,0,1,,2.563,66.13,61.41,0
204049,97.74,28.01,-0.02,-0.15,-0.38,72.17,78.61,62.43,9.67,apogee estimate,0,1,,2.667,72.17,62.43,0
204138,97.68,28.01,-0.01,-0.05,-0.37,76.74,82.81,59.26,8.92,93.88,0,2,,2.756,76.74,59.26,0
204229,97.63,28.01,0.09,-0.02,-0.35,81.81,87.52,58,8.54,98.48,0,2,,2.847,81.81,58,0
204318,97.57,28.01,0.09,0,-0.33,86.65,92.09,56.95,8.19,102.96,0,2,,2.936,86.65,56.95,0
204409,97.51,28.01,0.04,0.04,-0.33,91.66,97,56.78,8.02,107.85,0,2,,3.027,91.66,56.78,0
204498,97.46,28.01,0.03,0.07,-0.31,95.99,101.36,55.38,7.63,112.09,0,2,,3.116,95.99,55.38,0
204589,97.41,28.01,0.02,0.06,-0.3,100.5,105.82,54.26,7.3,116.44,0,2,,3.207,100.5,54.26,0
204734,97.32,28,-0.04,0.05,-0.28,107.68,115.32,59.31,8.02,126.4,0,2,,3.352,107.68,59.31,0
204824,97.27,28,-0.02,0.06,-0.27,111.97,117.92,52.55,6.57,128.37,0,2,,3.442,111.97,52.55,0
204914,97.22,28,-0.02,0.02,-0.25,116.45,121.61,50.27,5.99,131.84,0,2,,3.532,116.45,50.27,0
205004,97.17,28,-0.05,0.01,-0.24,120.79,125.59,49.21,5.66,135.71,0,2,,3.622,120.79,49.21,0
205093,97.13,28,-0.03,0.02,-0.23,124.54,129.25,47.56,5.22,139.2,0,2,,3.711,124.54,47.56,0
205183,97.08,28,-0.02,0.02,-0.22,128.33,132.9,46.09,4.85,142.68,0,2,,3.801,128.33,46.09,0
205272,97.04,28,-0.01,0,-0.21,132.1,136.45,44.84,4.53,146.09,0,2,,3.89,132.1,44.84,0
205375,96.99,28,-0.01,0,-0.2,136.62,141.22,45.67,4.59,150.96,0,2,,3.993,136.62,45.67,0
205469,96.94,28,-0.02,0.01,-0.19,140.7,145.14,44.97,4.39,154.8,0,2,,4.087,140.7,44.97,0
205558,96.9,28,-0.01,0.01,-0.18,143.8,148.18,42.56,3.87,157.56,0,2,,4.176,143.8,42.56,0
205646,96.86,28,0,0.01,-0.17,147.45,151.42,41.38,3.58,160.66,0,2,,4.264,147.45,41.38,0
205737,96.82,28,0,0.01,-0.16,150.83,154.78,40.47,3.35,163.9,0,2,,4.355,150.83,40.47,0
205825,96.78,28.01,0,0.01,-0.16,154.24,157.97,39.64,3.15,166.99,0,2,,4.443,154.24,39.64,0
205916,96.75,28,0,0.02,-0.15,157.18,161.02,38.25,2.84,169.86,0,2,,4.534,157.18,38.25,0
206020,96.7,28,0.01,0.01,-0.14,161.31,165.23,39.16,2.95,174.19,0,2,,4.638,161.31,39.16,0
206110,96.67,28,0,0.01,-0.13,164.18,167.98,37.16,2.54,176.68,0,2,,4.728,164.18,37.16,0
206200,96.64,28.01,0.01,0.01,-0.12,166.97,170.61,35.29,2.15,179.04,0,2,,4.818,166.97,35.29,0
206290,96.6,28,0.01,0.01,-0.11,169.77,173.2,33.76,1.82,181.41,0,2,,4.908,169.77,33.76,0
206380,96.57,28,0,0.01,-0.11,172.52,175.76,32.5,1.56,183.78,0,2,,4.998,172.52,32.5,0
206470,96.54,28,0,0.01,-0.1,175.75,178.68,32.61,1.55,186.72,0,2,,5.088,175.75,32.61,0
206560,96.51,28.01,0,0.01,-0.09,178,181.14,31.33,1.29,188.98,0,2,,5.178,178,31.33,0
206664,96.47,28,0,0.01,-0.09,181.39,184.59,32,1.39,192.54,0,2,,5.282,181.39,32,0
206755,96.44,28.01,0.01,0.01,-0.08,183.83,186.94,30.48,1.09,194.64,0,2,,5.373,183.83,30.48,0
206844,96.41,28.01,0.01,0.01,-0.08,186.26,189.17,29.17,0.82,196.65,1,2,,5.462,186.26,29.17,1
206935,96.44,28.01,0.01,0.01,-0.08,184.39,188.42,19.4,-1.03,192.53,0,2,,5.553,184.39,19.4,0
207024,96.43,28.01,0.01,0.01,-0.08,185.2,187.85,12.56,-2.28,191.52,0,2,,5.642,185.2,12.56,0
207115,96.34,28.01,0.01,0.01,-0.06,193,192.67,23.18,-0.28,199.04,1,2,,5.733,193,23.18,1
207204,96.35,28.01,0.01,0.02,-0.06,192.08,194.31,21.91,-0.51,198.79,1,2,,5.822,192.08,21.91,1
207309,96.35,28.01,0.01,0.02,-0.08,192.2,195.03,17.4,-1.32,198.82,1,2,,5.927,192.2,17.4,1
207399,96.31,28.01,0.01,0.02,-0.11,195.41,196.88,18.1,-1.17,200.78,1,2,,6.017,195.41,18.1,1
207489,96.3,28.01,0.02,0.01,-0.12,196.04,197.9,16.26,-1.5,201.49,1,2,,6.107,196.04,16.26,1
207579,96.27,28.01,0.01,0.01,-0.1,198.33,199.66,17.03,-1.33,203.39,1,2,,6.197,198.33,17.03,1
207669,96.25,28.01,0.01,0.01,-0.1,200.58,201.84,18.81,-0.97,205.86,1,2,,6.287,200.58,18.81,1
207759,96.22,28.01,0.01,0.01,-0.09,202.96,204.33,21.07,-0.53,208.69,1,2,,6.377,202.96,21.07,1
207863,96.2,28.01,0.01,0.01,-0.08,204.67,206.77,21.75,-0.4,211.23,1,2,,6.481,204.67,21.75,1
207954,96.18,28.01,0.01,0,-0.07,206.36,208.44,20.82,-0.57,212.76,1,2,,6.572,206.36,20.82,1
208043,96.16,28.01,0,0.01,-0.06,208.19,210.11,20.25,-0.66,214.35,1,2,,6.661,208.19,20.25,1
208134,96.15,28.01,0.01,0.01,-0.05,209.45,211.48,18.82,-0.92,215.5,1,2,,6.752,209.45,18.82,1
208223,96.13,28.01,0,0.01,-0.04,211.14,212.91,18.02,-1.06,216.8,1,2,,6.841,211.14,18.02,1
208314,96.11,28.01,0.01,0.01,-0.04,212.72,214.41,17.54,-1.13,218.23,1,2,,6.932,212.72,17.54,1
208403,96.09,28.01,0,0.01,-0.03,214.28,215.87,17.16,-1.18,219.62,1,2,,7.021,214.28,17.16,1
208508,96.08,28.01,0.03,0,-0.12,215.16,217.14,15.53,-1.45,220.6,1,2,,7.126,215.16,15.53,1
208598,96.07,28.01,0,0.02,-0.05,216.51,218.06,14.05,-1.7,221.24,1,2,,7.216,216.51,14.05,1
208688,96.05,28.02,0,0.02,-0.04,217.47,218.89,12.67,-1.93,221.79,1,2,,7.306,217.47,12.67,1
208778,96.04,28.02,0,0.02,-0.02,218.43,219.7,11.56,-2.11,222.36,1,2,,7.396,218.43,11.56,1
208868,96.04,28.01,0,0.02,-0.03,218.54,219.91,8.95,-2.56,221.94,1,2,,7.486,218.54,8.95,1
208958,96.03,28.02,0,0.02,-0.02,219.5,220.41,7.88,-2.72,222.16,1,2,,7.576,219.5,7.88,1
209048,96.02,28.02,0,0.02,-0.01,220.37,221.08,7.54,-2.74,222.73,1,2,,7.666,220.37,7.54,1
209153,96.01,28.02,0.01,0.02,-0.01,220.96,221.77,7,-2.78,223.27,1,2,,7.771,220.96,7,1
209242,96.01,28.02,0.02,0.02,-0.01,221.66,222.3,6.51,-2.83,223.66,1,2,,7.86,221.66,6.51,1
209333,96,28.02,0.02,0.02,-0.01,221.98,222.65,5.61,-2.95,223.76,1,2,,7.951,221.98,5.61,1
209422,96,28.02,0.04,0.01,-0.02,222.24,222.85,4.5,-3.11,223.64,1,2,,8.04,222.24,4.5,1
209513,96,28.02,0.03,0,0,222.58,223.05,3.66,-3.21,223.62,1,2,,8.131,222.58,3.66,1
209602,96,28.01,0.03,0,0,222.42,222.91,2.04,-3.46,223.11,1,2,,8.22,222.42,2.04,1
209693,96,28.02,0.01,-0.03,0,222.63,222.88,1.14,-3.57,222.95,1,2,,8.311,222.63,1.14,1
209839,96,28.01,-0.01,-0.04,0,222.6,222.78,0.01,-3.68,222.78,1,2,,8.457,222.6,0.01,1
209929,96,28.02,-0.03,-0.05,0,222.39,222.44,-1.18,-3.85,222.51,1,3,,8.547,222.39,-1.18,1
210019,96,28.02,-0.06,-0.05,0,222.43,222.31,-1.54,-3.85,222.51,1,3,,8.637,222.43,-1.54,1
210108,96,28.02,-0.11,0.01,0.01,222.56,222.33,-1.4,-3.75,222.51,1,3,,8.726,222.56,-1.4,1
210197,96,28.02,-0.14,0.01,0.02,222.33,222.19,-1.73,-3.75,222.51,1,3,,8.815,222.33,-1.73,1
210287,96.01,28.03,-0.17,0.03,0.03,221.61,221.61,-3.31,-3.99,222.51,1,3,,8.905,221.61,-3.31,1
210376,96.01,28.02,-0.2,0.1,0.04,221.04,220.89,-4.85,-4.22,222.51,1,3,,8.994,221.04,-4.85,1
210481,96.02,28.02,-0.15,0.19,0.05,220.41,220,-6.32,-4.4,222.51,1,3,,9.099,220.41,-6.32,1
210570,96.03,28.02,-0.11,0.18,0.04,219.81,219.28,-7.12,-4.48,222.51,1,3,,9.188,219.81,-7.12,1
210661,96.03,28.02,-0.16,-0.62,-0.21,219.72,218.93,-6.61,-4.31,222.51,1,3,,9.279,219.72,-6.61,1
210750,96.04,28.02,0.03,0.13,-0.05,218.55,218.06,-7.79,-4.46,222.51,1,3,,9.368,218.55,-7.79,1
210841,96.04,28.02,0.24,0.14,0,218.48,217.63,-7.3,-4.29,222.51,1,3,,9.459,218.48,-7.3,1
210930,96.06,28.03,0.32,0.05,0.01,217.01,216.52,-9,-4.53,222.51,1,3,,9.548,217.01,-9,1
211021,96.06,28.03,0.28,-0.13,-0.05,217.17,216.15,-8.05,-4.28,222.51,1,3,,9.639,217.17,-8.05,1
211125,96.07,28.03,0.24,-0.29,-0.11,216.26,215.37,-8.27,-4.24,222.51,1,3,,9.743,216.26,-8.27,1
211215,96.07,28.03,0.35,-0.39,-0.05,216.08,215.14,-7.11,-3.96,222.51,1,3,,9.833,216.08,-7.11,1
211305,96.08,28.03,0.32,-0.45,-0.06,215.61,214.82,-6.5,-3.78,222.51,1,3,,9.923,215.61,-6.5,1
211395,96.09,28.03,0,-0.46,-0.17,214.26,213.82,-7.99,-3.99,222.51,1,3,,10.013,214.26,-7.99,1
