Simulation,Algorithm,Apogee_AGL_m,Error_m,Max_Deployment
1,BANGBANG,224.13804122051704,-2.591958779482951,1.0
2,BANGBANG,223.04039235984942,-3.6896076401505695,1.0
3,BANGBANG,223.15109472454856,-3.578905275451433,1.0
4,BANGBANG,221.72753620608933,-5.002463793910664,1.0
5,BANGBANG,224.92443805980446,-1.8055619401955312,1.0
6,BANGBANG,224.3051954151848,-2.4248045848151776,1.0
7,BANGBANG,223.13885585100365,-3.591144148996335,1.0
8,BANGBANG,223.11508064398134,-3.614919356018646,1.0
9,BANGBANG,223.76932693252365,-2.9606730674763355,1.0
10,BANGBANG,222.98083814769018,-3.749161852309811,1.0
11,BANGBANG,223.03062528259932,-3.699374717400673,1.0
12,BANGBANG,223.0110357624821,-3.718964237517895,1.0
13,BANGBANG,223.9501283731247,-2.779871626875291,1.0
14,BANGBANG,223.87880832711318,-2.851191672886813,1.0
15,BANGBANG,223.695825528608,-3.0341744713919923,1.0
16,BANGBANG,224.37465086290814,-2.3553491370918493,1.0
17,BANGBANG,223.16044474545407,-3.569555254545918,1.0
18,BANGBANG,222.77237389769164,-3.957626102308353,1.0
19,BANGBANG,222.66717055593801,-4.062829444061975,1.0
20,BANGBANG,224.21580603253318,-2.5141939674668095,1.0
21,BANGBANG,223.59739364309564,-3.132606356904347,1.0
22,BANGBANG,222.61029030290592,-4.119709697094066,1.0
23,BANGBANG,222.08717595627638,-4.642824043723607,1.0
24,BANGBANG,222.48313182166493,-4.246868178335063,1.0
25,BANGBANG,223.49539621500122,-3.234603784998768,1.0
26,BANGBANG,224.1472880703779,-2.582711929622093,1.0
27,BANGBANG,222.10826232492678,-4.621737675073206,1.0
28,BANGBANG,222.4334132761087,-4.296586723891295,1.0
29,BANGBANG,224.50587545056305,-2.2241245494369366,1.0
30,BANGBANG,225.4715564507984,-1.258443549201587,1.0
31,BANGBANG,223.24153677197575,-3.4884632280242442,1.0
32,BANGBANG,223.5446237624318,-3.1853762375681924,1.0
33,BANGBANG,223.7307352554986,-2.999264744501403,1.0
34,BANGBANG,223.28125709993873,-3.448742900061262,1.0
35,BANGBANG,223.6553412364978,-3.0746587635021854,1.0
36,BANGBANG,222.94919550952915,-3.7808044904708424,1.0
37,BANGBANG,223.20562571681398,-3.524374283186006,1.0
38,BANGBANG,221.5272694872637,-5.202730512736281,1.0
39,BANGBANG,223.6040313093086,-3.125968690691394,1.0
40,BANGBANG,224.5943738323478,-2.135626167652191,1.0
41,BANGBANG,222.95942421592036,-3.7705757840796252,1.0
42,BANGBANG,224.8411514153849,-1.88884858461509,1.0
43,BANGBANG,225.00813399920133,-1.7218660007986557,1.0
44,BANGBANG,222.46814440314296,-4.261855596857032,1.0
45,BANGBANG,223.60695183205831,-3.1230481679416755,1.0
46,BANGBANG,223.36453220893884,-3.3654677910611497,1.0
47,BANGBANG,224.19625131834528,-2.533748681654714,1.0
48,BANGBANG,224.0192137149155,-2.710786285084481,1.0
49,BANGBANG,224.08797229763388,-2.642027702366107,1.0
50,BANGBANG,224.85588150883115,-1.8741184911688435,1.0
51,BANGBANG,224.03161571354264,-2.6983842864573546,1.0
52,BANGBANG,222.61061408409415,-4.119385915905838,1.0
53,BANGBANG,221.5899960426375,-5.140003957362495,1.0
54,BANGBANG,222.5284653035481,-4.201534696451887,1.0
55,BANGBANG,222.69062790251593,-4.039372097484062,1.0
56,BANGBANG,223.985893050323,-2.74410694967699,1.0
57,BANGBANG,224.07168597099871,-2.658314029001275,1.0
58,BANGBANG,224.33309626582798,-2.396903734172014,1.0
59,BANGBANG,225.39436058837924,-1.3356394116207468,1.0
60,BANGBANG,222.36769967823,-4.362300321769993,1.0
61,BANGBANG,222.58019100184964,-4.149808998150348,1.0
62,BANGBANG,223.97514529327896,-2.7548547067210336,1.0
63,BANGBANG,222.56584069023944,-4.164159309760549,1.0
64,BANGBANG,224.193619321465,-2.5363806785349823,1.0
65,BANGBANG,221.85333988980386,-4.876660110196127,1.0
66,BANGBANG,223.733046415025,-2.996953584974989,1.0
67,BANGBANG,222.71525523446047,-4.014744765539518,1.0
68,BANGBANG,223.75301344832366,-2.976986551676333,1.0
69,BANGBANG,222.8558051101133,-3.874194889886695,1.0
70,BANGBANG,223.40218437736718,-3.327815622632812,1.0
71,BANGBANG,223.61816438505292,-3.1118356149470685,1.0
72,BANGBANG,224.21474139925186,-2.515258600748126,1.0
73,BANGBANG,224.52256847190807,-2.2074315280919166,1.0
74,BANGBANG,222.58479035382697,-4.145209646173015,1.0
75,BANGBANG,224.24407426941775,-2.485925730582238,1.0
76,BANGBANG,223.73073875259524,-2.999261247404746,1.0
77,BANGBANG,224.95903001678647,-1.7709699832135186,1.0
78,BANGBANG,224.89821029558402,-1.831789704415968,1.0
79,BANGBANG,223.64641706123865,-3.0835829387613387,1.0
80,BANGBANG,223.09014886605695,-3.63985113394304,1.0
81,BANGBANG,222.53001196007193,-4.1999880399280585,1.0
82,BANGBANG,222.80183675048073,-3.928163249519258,1.0
83,BANGBANG,223.4260962471655,-3.3039037528344863,1.0
84,BANGBANG,223.83360426701404,-2.896395732985951,1.0
85,BANGBANG,223.5005747142318,-3.229425285768201,1.0
86,BANGBANG,223.48080794586696,-3.249192054133033,1.0
87,BANGBANG,223.77428185858759,-2.9557181414124045,1.0
88,BANGBANG,222.34562565127032,-4.384374348729665,1.0
89,BANGBANG,221.33797027367518,-5.392029726324807,1.0
90,BANGBANG,223.73547836978662,-2.99452163021337,1.0
91,BANGBANG,224.3650203199402,-2.364979680059804,1.0
92,BANGBANG,222.1122085525904,-4.617791447409587,1.0
93,BANGBANG,222.54381284478103,-4.18618715521896,1.0
94,BANGBANG,222.9247740133199,-3.8052259866800853,1.0
95,BANGBANG,223.23832716853298,-3.491672831467014,1.0
96,BANGBANG,222.60973433048116,-4.1202656695188296,1.0
97,BANGBANG,222.80306224125263,-3.926937758747357,1.0
98,BANGBANG,223.5418557160657,-3.1881442839342924,1.0
99,BANGBANG,222.94261002531317,-3.7873899746868176,1.0
100,BANGBANG,223.57026415659038,-3.1597358434096066,1.0
1,SOLVER,227.13628216763937,0.4062821676393753,1.0
2,SOLVER,227.11921160736716,0.389211607367173,1.0
3,SOLVER,226.9369721368107,0.20697213681071958,1.0
4,SOLVER,227.00956893784996,0.27956893784997305,1.0
5,SOLVER,227.01498077871798,0.2849807787179941,1.0
6,SOLVER,227.03687561745437,0.30687561745438074,1.0
7,SOLVER,226.93855594020494,0.2085559402049455,1.0
8,SOLVER,227.04458890919238,0.3145889091923948,1.0
9,SOLVER,226.95168760755877,0.2216876075587777,1.0
10,SOLVER,226.96760768905858,0.2376076890585921,1.0
11,SOLVER,226.9649158332864,0.23491583328640786,1.0
12,SOLVER,227.04170538246228,0.31170538246229285,1.0
13,SOLVER,226.86579654046636,0.13579654046637302,1.0
14,SOLVER,227.0012454920958,0.27124549209580096,1.0
15,SOLVER,227.01074955682594,0.2807495568259526,1.0
16,SOLVER,227.09564831539575,0.3656483153957595,1.0
17,SOLVER,226.92399227773126,0.19399227773126881,1.0
18,SOLVER,226.99269603519167,0.2626960351916807,1.0
19,SOLVER,227.094929998662,0.3649299986620065,1.0
20,SOLVER,226.92326087239343,0.19326087239343792,1.0
21,SOLVER,227.13256173095164,0.40256173095164627,1.0
22,SOLVER,226.86069379673148,0.13069379673149228,1.0
23,SOLVER,227.0570180127225,0.32701801272250464,1.0
24,SOLVER,227.17008891414605,0.44008891414605955,1.0
25,SOLVER,226.8944261020249,0.16442610202491892,1.0
26,SOLVER,226.8664659556659,0.1364659556658978,1.0
27,SOLVER,227.0499357468779,0.3199357468779169,1.0
28,SOLVER,227.0397836962827,0.3097836962827216,1.0
29,SOLVER,226.89792186681103,0.16792186681104226,1.0
30,SOLVER,227.10488262979095,0.3748826297909602,1.0
31,SOLVER,227.2337495548677,0.50374955486771,1.0
32,SOLVER,227.01233010780726,0.28233010780726886,1.0
33,SOLVER,227.18407268838894,0.45407268838894765,1.0
34,SOLVER,226.97239638059972,0.2423963805997289,1.0
35,SOLVER,226.97524182875736,0.2452418287573721,1.0
36,SOLVER,227.0234223425977,0.29342234259772226,1.0
37,SOLVER,227.11107075092798,0.38107075092798937,1.0
38,SOLVER,226.90343902287873,0.17343902287873902,1.0
39,SOLVER,227.07792813431598,0.34792813431599257,1.0
40,SOLVER,227.14197604242815,0.4119760424281651,1.0
41,SOLVER,227.22811437789665,0.49811437789665547,1.0
42,SOLVER,227.0509441356429,0.3209441356429181,1.0
43,SOLVER,227.1429903505371,0.41299035053711464,1.0
44,SOLVER,226.90993239214714,0.17993239214715118,1.0
45,SOLVER,226.9636151501819,0.2336151501819188,1.0
46,SOLVER,227.21216943416715,0.4821694341671616,1.0
47,SOLVER,226.9430079017289,0.2130079017289006,1.0
48,SOLVER,226.9247861881738,0.19478618817382198,1.0
49,SOLVER,227.0612558374524,0.33125583745240306,1.0
50,SOLVER,226.98200800658833,0.25200800658834055,1.0
51,SOLVER,226.9493916931662,0.21939169316621587,1.0
52,SOLVER,227.18893595960935,0.45893595960936295,1.0
53,SOLVER,226.9919899386809,0.26198993868089815,1.0
54,SOLVER,226.8448570868834,0.11485708688340424,1.0
55,SOLVER,226.9102971284741,0.18029712847410906,1.0
56,SOLVER,227.22306783156722,0.493067831567231,1.0
57,SOLVER,227.14749888224412,0.4174988822441321,1.0
58,SOLVER,227.0137396251905,0.28373962519052043,1.0
59,SOLVER,227.08246425942264,0.35246425942264636,1.0
60,SOLVER,227.0387604797616,0.3087604797616166,1.0
61,SOLVER,227.02750363569834,0.29750363569834803,1.0
62,SOLVER,227.010572639352,0.28057263935201604,1.0
63,SOLVER,227.19406053273053,0.46406053273054226,1.0
64,SOLVER,227.10666618312962,0.37666618312962896,1.0
65,SOLVER,227.17189992544633,0.44189992544633583,1.0
66,SOLVER,227.01036161836015,0.2803616183601605,1.0
67,SOLVER,226.88441794416383,0.15441794416383914,1.0
68,SOLVER,226.88226566913175,0.15226566913176498,1.0
69,SOLVER,227.05743452172925,0.32743452172925913,1.0
70,SOLVER,227.04075612611553,0.3107561261155354,1.0
71,SOLVER,226.8960397522019,0.16603975220189682,1.0
72,SOLVER,227.10915394556696,0.37915394556696924,1.0
73,SOLVER,226.92357111929874,0.1935711192987526,1.0
74,SOLVER,227.2171158509637,0.48711585096370413,1.0
75,SOLVER,227.14945213927422,0.4194521392742274,1.0
76,SOLVER,227.05617982748743,0.32617982748743657,1.0
77,SOLVER,227.00313087653558,0.2731308765355891,1.0
78,SOLVER,226.89116912163212,0.1611691216321276,1.0
79,SOLVER,226.94485616879768,0.2148561687976951,1.0
80,SOLVER,227.0299385789687,0.299938578968721,1.0
81,SOLVER,227.04974734970193,0.31974734970194163,1.0
82,SOLVER,227.22936125994244,0.4993612599424466,1.0
83,SOLVER,226.97911560244762,0.2491156024476311,1.0
84,SOLVER,227.18440898984534,0.45440898984534783,1.0
85,SOLVER,226.90898403542292,0.1789840354229284,1.0
86,SOLVER,226.96527575033838,0.23527575033838843,1.0
87,SOLVER,227.03111434901552,0.3011143490155348,1.0
88,SOLVER,227.0107891680713,0.2807891680713226,1.0
89,SOLVER,227.10624758238833,0.3762475823883449,1.0
90,SOLVER,226.987691525963,0.25769152596299705,1.0
91,SOLVER,227.14141078409295,0.41141078409296483,1.0
92,SOLVER,227.00516479659143,0.2751647965914401,1.0
93,SOLVER,227.12957643934698,0.39957643934698694,1.0
94,SOLVER,227.0754374944985,0.3454374944984977,1.0
95,SOLVER,227.24536953959046,0.5153695395904663,1.0
96,SOLVER,227.0320709265344,0.30207092653441237,1.0
97,SOLVER,226.95681079724574,0.22681079724574715,1.0
98,SOLVER,227.16623792487997,0.4362379248799755,1.0
99,SOLVER,227.0941191319016,0.36411913190161727,1.0
100,SOLVER,227.05676442882572,0.32676442882572587,1.0
1,INTEGRATOR,226.66111173064002,-0.06888826935997372,1.0
2,INTEGRATOR,226.58800088067852,-0.14199911932146847,1.0
3,INTEGRATOR,226.2278140830598,-0.5021859169401921,0.942
4,INTEGRATOR,226.5626273343587,-0.16737266564129527,0.99
5,INTEGRATOR,226.5942174453424,-0.13578255465759526,1.0
6,INTEGRATOR,226.00100267062777,-0.7289973293722198,0.922
7,INTEGRATOR,226.62292588789484,-0.10707411210515261,1.0
8,INTEGRATOR,226.33168085740698,-0.39831914259301016,0.953
9,INTEGRATOR,226.21156080197187,-0.5184391980281191,0.953
10,INTEGRATOR,226.50608521611116,-0.22391478388883002,0.977
11,INTEGRATOR,226.11149649589402,-0.6185035041059734,0.931
12,INTEGRATOR,226.6250384839713,-0.10496151602868053,1.0
13,INTEGRATOR,226.66887084889316,-0.06112915110682593,1.0
14,INTEGRATOR,226.55968468576498,-0.17031531423501178,0.991
15,INTEGRATOR,226.57161881885747,-0.15838118114251643,1.0
16,INTEGRATOR,226.60225422271992,-0.12774577728006875,1.0
17,INTEGRATOR,226.6147405467333,-0.1152594532667024,1.0
18,INTEGRATOR,226.4323939134551,-0.29760608654490284,0.967
19,INTEGRATOR,226.56076309712034,-0.16923690287964632,1.0
20,INTEGRATOR,226.07902489130976,-0.6509751086902327,0.921
