Time_s,Alt_Sim,Alt_Raw,Alt_Filtered,V_Sim,V_Filtered,A_Sim,A_Raw,A_Filtered,Deployment,Desired_Deployment,Predicted_Apogee,Predicted_Apogee_No_Brake,Error,Control_Active
0.05,0.096,0.0,0.0,4.234,0.0,84.69,93.1,93.1,0.0,0.0,0.0,0.0,-228.6,0
0.1,0.423,0.258,0.247,8.859,3.675,92.488,91.7,91.688,0.0,0.0,0.935,0.935,-227.665,0
0.15,0.98,0.858,0.703,13.412,8.383,91.053,90.23,90.231,0.0,0.0,4.261,4.261,-224.339,0
0.2,1.763,1.631,1.386,17.888,13.171,89.535,88.67,88.671,0.0,0.0,10.088,10.088,-218.512,0
0.25,2.767,2.662,2.33,22.258,18.071,87.389,85.88,85.882,0.0,0.0,18.485,18.485,-210.115,0
0.3,3.986,3.864,3.516,26.484,22.91,84.518,82.98,82.982,0.0,0.0,29.036,29.036,-199.564,0
0.35,5.413,5.324,4.953,30.562,27.659,81.576,80.0,80.002,0.0,0.0,41.396,41.396,-187.204,0
0.4,7.04,6.956,6.61,34.491,32.201,78.57,76.96,76.962,0.0,0.0,54.914,54.914,-173.686,0
0.45,8.86,8.76,8.464,38.266,36.481,75.503,73.87,73.872,0.0,0.0,69.039,69.039,-159.561,0
0.5,10.864,10.736,10.496,41.885,40.494,72.379,70.73,70.732,0.0,0.0,83.396,83.396,-145.204,0
0.55,13.045,12.971,12.725,45.342,44.326,69.147,67.4,67.402,0.0,0.0,98.016,98.016,-130.584,0
0.6,15.395,15.292,15.108,48.63,47.894,65.744,63.99,63.992,0.0,0.0,112.397,112.397,-116.203,0
0.65,17.906,17.871,17.67,51.745,51.29,62.31,60.56,60.562,0.0,0.0,126.714,126.714,-101.886,0
0.7,20.567,20.537,20.377,54.688,54.459,58.863,57.12,57.122,0.0,0.0,140.637,140.637,-87.963,0
0.75,23.371,23.29,23.206,57.458,57.383,55.392,53.5,53.502,0.0,0.0,153.983,153.983,-74.617,0
0.8,26.31,26.302,26.187,60.029,60.144,51.421,49.28,49.283,0.0,0.0,167.011,167.011,-61.589,0
0.85,29.371,29.315,29.272,62.389,62.637,47.211,45.07,45.073,0.0,0.0,179.249,179.249,-49.351,0
0.9,32.545,32.586,32.494,64.54,64.951,43.013,40.87,40.873,0.0,0.0,191.013,191.013,-37.587,0
0.95,35.821,35.859,35.81,66.481,67.024,38.824,36.68,36.683,0.0,0.0,202.016,202.016,-26.584,0
1.0,39.19,39.219,39.21,68.212,68.863,34.608,32.09,32.093,0.0,0.0,212.253,212.253,-16.347,0
1.05,42.637,42.667,42.687,69.615,70.456,28.067,23.21,23.216,0.0,0.0,221.66,221.66,-6.94,0
1.1,46.143,46.201,46.229,70.537,71.602,18.448,13.83,13.836,0.0,0.0,229.471,229.471,0.871,0
1.15,49.684,49.737,49.804,71.011,72.259,9.478,5.0,5.006,0.0,0.0,235.495,235.495,6.895,0
1.2,53.237,53.361,53.407,71.047,72.485,0.714,-3.68,-3.674,0.0,0.0,239.942,239.942,11.342,0
1.25,56.782,56.899,56.995,70.704,72.254,-6.862,-10.17,-10.166,0.0,0.0,242.668,242.668,14.068,0
1.3,60.303,60.439,60.557,70.099,71.689,-12.094,-13.44,-13.438,0.0,0.0,244.123,244.123,15.523,0
