Time_s,Alt_Sim,Alt_Raw,Alt_Filtered,V_Sim,V_Filtered,A_Sim,A_Raw,A_Filtered,Deployment,Desired_Deployment,Predicted_Apogee,Predicted_Apogee_No_Brake,Control_Active
0.05,0.097,0.0,0.0,4.294,0.0,85.887,94.49,94.49,0.0,0.0,0.0,0.0,0
0.1,0.429,0.343,0.329,8.984,4.663,93.798,93.09,93.074,0.0,0.0,1.435,1.435,0
0.15,0.994,0.858,0.768,13.602,9.344,92.355,91.61,92.05,0.0,0.0,5.184,5.184,0
0.2,1.788,1.717,1.489,18.144,14.162,90.833,90.05,90.71,0.0,0.0,11.53,11.53,0
0.25,2.807,2.662,2.429,22.577,18.96,88.673,87.24,88.396,0.0,0.0,20.18,20.18,0
0.3,4.043,3.95,3.641,26.867,23.796,85.789,84.32,85.679,0.0,0.0,31.114,31.114,0
0.35,5.491,5.41,5.094,31.008,28.518,82.833,81.33,82.781,0.0,0.0,43.759,43.759,0
0.4,7.142,7.042,6.762,34.999,33.022,79.813,78.28,79.781,0.0,0.0,57.477,57.477,0
0.45,8.988,8.932,8.65,38.836,37.348,76.735,75.18,76.715,0.0,0.0,72.03,72.03,0
0.5,11.023,10.908,10.707,42.516,41.375,73.603,72.03,73.593,0.0,0.0,86.695,86.695,0
0.55,13.237,13.143,12.953,46.034,45.201,70.362,68.68,70.319,0.0,0.0,101.54,101.54,0
0.6,15.623,15.549,15.376,49.382,48.822,66.95,65.27,66.954,0.0,0.0,116.347,116.347,0
0.65,18.172,18.129,17.967,52.557,52.243,63.501,61.82,63.533,0.0,0.0,130.98,130.98,0
0.7,20.876,20.795,20.696,55.558,55.422,60.033,58.36,60.085,0.0,0.0,145.143,145.143,0
0.75,23.725,23.72,23.591,58.385,58.442,56.535,54.71,56.503,0.0,0.0,159.074,159.074,0
0.8,26.711,26.732,26.622,61.011,61.249,52.527,50.46,52.476,0.0,0.0,172.487,172.487,0
0.85,29.823,29.831,29.769,63.425,63.812,48.279,46.21,48.3,0.0,0.0,185.193,185.193,0
0.9,33.05,33.103,33.039,65.628,66.164,44.047,41.97,44.082,0.0,0.0,197.285,197.285,0
0.95,36.382,36.376,36.392,67.619,68.254,39.827,37.75,39.862,0.0,0.0,208.508,208.508,0
1.0,39.809,39.822,39.842,69.398,70.124,35.57,33.12,35.369,0.0,0.0,219.018,219.018,0
1.05,43.316,43.356,43.377,70.845,71.695,28.948,24.14,27.886,0.0,0.0,228.493,228.493,0
1.1,46.885,46.977,46.985,71.808,72.866,19.267,14.65,19.065,0.0,0.0,236.533,236.533,0
1.15,50.49,50.599,50.631,72.316,73.582,10.162,5.71,10.165,0.0,0.0,242.889,242.889,0
1.2,54.109,54.223,54.291,72.38,73.837,1.277,-3.09,1.332,0.0,0.0,247.514,247.514,0
1.25,57.721,57.848,57.944,72.062,73.674,-6.372,-9.69,-6.013,0.0,0.0,250.55,250.55,0
1.3,61.31,61.474,61.58,71.474,73.207,-11.76,-13.02,-10.683,0.0,0.0,252.416,252.416,0
1.35,64.867,65.102,65.194,70.774,72.561,-13.997,-14.74,-13.387,0.0,0.0,253.588,253.588,0
1.4,68.386,68.644,68.765,70.003,71.791,-15.421,-16.09,-15.188,0.125,0.308,254.243,254.243,1
1.45,71.865,72.101,72.277,69.146,70.906,-17.134,-17.84,-16.955,0.25,0.534,247.466,254.409,1
1.5,75.299,75.559,75.741,68.2,69.942,-18.92,-18.94,-18.278,0.375,0.707,242.992,254.23,1
1.55,78.684,78.932,79.146,67.228,68.914,-19.445,-19.31,-18.966,0.5,0.841,239.791,253.752,1
1.6,82.021,82.306,82.504,66.259,67.872,-19.377,-19.22,-19.135,0.625,0.948,237.502,253.179,1
1.65,85.31,85.681,85.827,65.295,66.849,-19.285,-19.13,-19.132,0.75,1.0,235.905,252.65,1
1.7,88.55,88.884,89.083,64.317,65.798,-19.551,-19.44,-19.337,0.875,1.0,235.118,251.954,1
1.75,91.741,92.088,92.285,63.32,64.736,-19.936,-19.8,-19.646,1.0,1.0,235.038,251.167,1
1.8,94.882,95.293,95.448,62.329,63.684,-19.831,-19.68,-19.669,1.0,1.0,234.947,250.39,1
1.85,97.974,98.412,98.561,61.352,62.639,-19.526,-19.38,-19.476,1.0,1.0,234.825,249.6,1
1.9,101.018,101.446,101.615,60.391,61.596,-19.226,-19.08,-19.212,1.0,1.0,234.651,248.771,1
1.95,104.014,104.48,104.625,59.444,60.578,-18.935,-18.79,-18.931,1.0,1.0,234.508,248.0,1
2.0,106.962,107.516,107.603,58.512,59.6,-18.653,-18.51,-18.65,1.0,1.0,234.456,247.357,1
2.05,109.865,110.378,110.517,57.593,58.613,-18.378,-18.24,-18.377,1.0,1.0,234.313,246.63,1
2.1,112.722,113.242,113.381,56.687,57.64,-18.111,-17.98,-18.112,1.0,1.0,234.164,245.917,1
2.15,115.534,116.106,116.208,55.795,56.695,-17.851,-17.72,-17.851,1.0,1.0,234.072,245.289,1
2.2,118.302,118.884,118.988,54.915,55.763,-17.599,-17.47,-17.597,1.0,1.0,233.974,244.674,1
2.25,121.026,121.663,121.733,54.047,54.859,-17.354,-17.23,-17.352,1.0,1.0,233.929,244.139,1
2.3,123.706,124.356,124.431,53.191,53.964,-17.116,-17.0,-17.118,1.0,1.0,233.873,243.608,1
